sport,season,round,signal,market,round_avg_clv,running_avg_clv,clv_count,positive_clv,negative_clv,wins,losses,pushes,clv_sum,source_file
AFL,2026,8,market,h2h,0.1065,0.1065,9,9,0,3,5,1,0.9587,r8_afl_ml_clv_comparison_2026.csv
AFL,2026,8,market,handicap,4.625,4.625,8,8,0,4,4,0,37.0,r8_afl_ml_clv_comparison_2026.csv
AFL,2026,8,market,total,6.25,6.25,8,8,0,5,3,0,50.0,r8_afl_ml_clv_comparison_2026.csv
AFL,2026,8,ml,h2h,-0.1211,-0.1211,9,3,6,4,4,1,-1.0902,r8_afl_ml_clv_comparison_2026.csv
AFL,2026,8,ml,handicap,-1.0,-1.0,9,4,4,3,6,0,-9.0,r8_afl_ml_clv_comparison_2026.csv
AFL,2026,8,ml,total,-3.5556,-3.5556,9,4,4,3,6,0,-32.0,r8_afl_ml_clv_comparison_2026.csv
AFL,2026,8,normal,h2h,-0.005,-0.005,9,5,4,5,3,1,-0.0453,r8_afl_ml_clv_comparison_2026.csv
AFL,2026,8,normal,handicap,1.4444,1.4444,9,5,3,4,5,0,13.0,r8_afl_ml_clv_comparison_2026.csv
AFL,2026,8,normal,total,-2.6667,-2.6667,9,5,3,4,5,0,-24.0,r8_afl_ml_clv_comparison_2026.csv
AFL,2026,9,market,h2h,0.0318,0.0692,9,7,1,7,2,0,0.2864,r9_afl_ml_clv_comparison_2026.csv
AFL,2026,9,market,handicap,3.2,3.9125,5,5,0,5,0,0,16.0,r9_afl_ml_clv_comparison_2026.csv
AFL,2026,9,market,total,1.75,4.0,4,4,0,2,2,0,7.0,r9_afl_ml_clv_comparison_2026.csv
AFL,2026,9,ml,h2h,0.0113,-0.0549,9,6,3,8,1,0,0.1018,r9_afl_ml_clv_comparison_2026.csv
AFL,2026,9,ml,handicap,0.8889,-0.0555,9,3,2,4,5,0,8.0,r9_afl_ml_clv_comparison_2026.csv
AFL,2026,9,ml,total,0.7778,-1.3889,9,4,0,6,3,0,7.0,r9_afl_ml_clv_comparison_2026.csv
AFL,2026,9,normal,h2h,0.0123,0.0037,9,6,3,9,0,0,0.1107,r9_afl_ml_clv_comparison_2026.csv
AFL,2026,9,normal,handicap,1.7778,1.6111,9,5,0,6,3,0,16.0,r9_afl_ml_clv_comparison_2026.csv
AFL,2026,9,normal,total,0.3333,-1.1667,9,3,1,5,4,0,3.0,r9_afl_ml_clv_comparison_2026.csv
NRL,2026,10,market,h2h,0.1521,0.1521,8,8,0,6,2,0,1.2165,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,market,handicap,2.75,2.75,8,8,0,5,3,0,22.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,market,total,2.0,2.0,3,3,0,2,1,0,6.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,ml,h2h,-0.0512,-0.0512,8,3,5,5,3,0,-0.4096,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,ml,handicap,1.5,1.5,8,5,3,4,4,0,12.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,ml,total,0.25,0.25,8,2,1,5,3,0,2.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,normal,h2h,0.075,0.075,8,5,3,5,3,0,0.5998,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,normal,handicap,1.5,1.5,8,4,4,3,5,0,12.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,normal,total,0.75,0.75,8,3,0,5,3,0,6.0,r10_nrl_ml_comparison_2026.csv
