game,side,model_prob,close_odds,close_implied_prob,clv_pct,ev,won,pnl,result
Wolves v Blackburn,H,0.477,1.48,0.676,-19.9%,-0.294,0,-1.00,D
Wolves v Blackburn,D,0.280,4.27,0.234,+4.6%,0.196,1,3.27,D
Wolves v Blackburn,A,0.242,6.50,0.154,+8.8%,0.573,0,-1.00,D
Bolton v Preston,H,0.447,2.34,0.427,+2.0%,0.046,1,1.34,H
Bolton v Preston,D,0.285,3.29,0.304,-1.9%,-0.062,0,-1.00,H
Bolton v Preston,A,0.268,3.02,0.331,-6.3%,-0.191,0,-1.00,H
Bristol City v Millwall,H,0.314,2.49,0.402,-8.8%,-0.218,0,-1.00,A
Bristol City v Millwall,D,0.280,3.38,0.296,-1.6%,-0.054,0,-1.00,A
Bristol City v Millwall,A,0.406,2.73,0.366,+4.0%,0.108,1,1.73,A
Charlton v Derby,H,0.333,2.65,0.377,-4.4%,-0.117,1,1.65,H
Charlton v Derby,D,0.306,3.13,0.319,-1.3%,-0.042,0,-1.00,H
Charlton v Derby,A,0.361,2.74,0.365,-0.4%,-0.011,0,-1.00,H
Middlesbrough v Lincoln,H,0.511,1.49,0.671,-16.0%,-0.239,1,0.49,H
Middlesbrough v Lincoln,D,0.272,4.34,0.230,+4.2%,0.180,0,-1.00,H
Middlesbrough v Lincoln,A,0.217,6.28,0.159,+5.8%,0.363,0,-1.00,H
Norwich v West Brom,H,0.404,1.96,0.510,-10.6%,-0.208,0,-1.00,A
Norwich v West Brom,D,0.298,3.54,0.282,+1.6%,0.055,0,-1.00,A
Norwich v West Brom,A,0.298,3.72,0.269,+2.9%,0.109,1,2.72,A
Portsmouth v QPR,H,0.474,2.34,0.427,+4.7%,0.109,0,-1.00,A
Portsmouth v QPR,D,0.268,3.20,0.312,-4.4%,-0.142,0,-1.00,A
Portsmouth v QPR,A,0.258,3.10,0.323,-6.5%,-0.200,1,2.10,A
Stoke v Swansea,H,0.358,2.28,0.439,-8.1%,-0.184,0,-1.00,A
Stoke v Swansea,D,0.279,3.37,0.297,-1.8%,-0.060,0,-1.00,A
Stoke v Swansea,A,0.363,3.05,0.328,+3.5%,0.107,1,2.05,A
Sheffield United v Birmingham,H,0.595,2.18,0.459,+13.6%,0.297,0,-1.00,D
Sheffield United v Birmingham,D,0.234,3.32,0.301,-6.7%,-0.223,1,2.32,D
Sheffield United v Birmingham,A,0.170,3.25,0.308,-13.8%,-0.448,0,-1.00,D
Watford v Southampton,H,0.326,3.60,0.278,+4.8%,0.174,1,2.60,H
Watford v Southampton,D,0.236,3.66,0.273,-3.7%,-0.136,0,-1.00,H
Watford v Southampton,A,0.438,1.96,0.510,-7.2%,-0.142,0,-1.00,H
Burnley v West Ham,H,0.475,3.03,0.330,+14.5%,0.439,0,-1.00,D
Burnley v West Ham,D,0.273,3.49,0.287,-1.4%,-0.047,1,2.49,D
Burnley v West Ham,A,0.253,2.24,0.446,-19.3%,-0.433,0,-1.00,D
Cardiff v Wrexham,H,0.399,2.46,0.407,-0.8%,-0.019,0,-1.00,D
Cardiff v Wrexham,D,0.267,3.52,0.284,-1.7%,-0.060,1,2.52,D
Cardiff v Wrexham,A,0.334,2.68,0.373,-3.9%,-0.105,0,-1.00,D
