date,match,selection,market,market_best,best_book,market_avg,market_novig_p,p_normal_t5on,p_normal_t5off,p_shadow,ev_best_t5on,ev_best_t5off,ev_best_shadow,dc_reset,decision,reject_reason
2026-09-11,West Ham v Wrexham,away,1X2,5.5,pointsbetau,5.112,0.1825,0.3084,0.292,0.3323,0.6962,0.6061,0.8274,West Ham,NO BET,reset club (West Ham) - D-C rating forced to league average
2026-09-13,Sheffield United v Wolves,home,1X2,3.1,unibet_uk,2.9,0.3197,0.487,0.487,0.4862,0.5096,0.5096,0.5071,Wolves,NO BET,reset club (Wolves) - matrix +7 is one base-rate fact counted 7x
2026-09-12,Derby v Birmingham,home,1X2,3.3,betway,3.189,0.2915,0.4171,0.4171,0.41,0.3765,0.3765,0.3529,,NO BET,"rating lag - Derby 21st on PPG, rated 10th; matrix -2"
2026-09-12,Bolton v Cardiff,under25,OU25,2.3,leovegas,2.207,0.4229,0.5505,0.5505,0.5578,0.2662,0.2662,0.2829,"Bolton, Cardiff",NO BET,totals calibrator plateau + reset club
2026-09-11,West Ham v Wrexham,draw,1X2,4.33,coral,4.133,0.2257,0.2917,0.2841,0.3012,0.263,0.2302,0.3041,West Ham,NO BET,reset club (West Ham) - D-C rating forced to league average
2026-09-11,West Ham v Wrexham,under25,OU25,2.25,grosvenor,2.221,0.4187,0.5505,0.5244,0.5804,0.2386,0.1799,0.3059,West Ham,NO BET,totals calibrator plateau + reset club
2026-09-12,Middlesbrough v Norwich,under25,OU25,2.35,playup,2.258,0.414,0.5244,0.5244,0.5168,0.2323,0.2323,0.2144,,NO BET,totals calibrator plateau - 8/12 fixtures share this model probability
2026-09-12,West Brom v QPR,under25,OU25,2.12,leovegas,2.01,0.464,0.5505,0.5505,0.5561,0.1671,0.1671,0.1788,,NO BET,totals calibrator plateau - 8/12 fixtures share this model probability
2026-09-12,Watford v Stoke,home,1X2,2.45,pointsbetau,2.354,0.3949,0.4752,0.4434,0.4751,0.1642,0.0864,0.1639,,NO BET,edge disappears with T5 off (+16.4% -> +8.6%)
2026-09-12,Bolton v Cardiff,draw,1X2,3.8,sportsbet,3.58,0.2595,0.2913,0.2907,0.2865,0.107,0.1046,0.0887,"Bolton, Cardiff",NO BET,"reset clubs (Bolton, Cardiff)"
