date,match,selection,market_avg,market_best,best_book,market_novig_p,p_normal_t5on,p_normal_t5off,p_shadow,ev_best_t5on,ev_best_t5off,ev_best_shadow,ev_avg_t5on,edge_vs_novig,dc_reset,market
2026-09-11,West Ham v Wrexham,home,1.576,1.62,leovegas,0.5919,0.3999,0.4239,0.3666,-0.3521,-0.3133,-0.4062,-0.3697,-0.1919,West Ham,1X2
2026-09-11,West Ham v Wrexham,draw,4.133,4.33,coral,0.2257,0.2917,0.2841,0.3012,0.263,0.2302,0.3041,0.2055,0.066,West Ham,1X2
2026-09-11,West Ham v Wrexham,away,5.112,5.5,pointsbetau,0.1825,0.3084,0.292,0.3323,0.6962,0.6061,0.8274,0.5765,0.1259,West Ham,1X2
2026-09-11,West Ham v Wrexham,over25,1.6,1.65,playup,0.5813,0.4495,0.4756,0.4196,-0.2583,-0.2152,-0.3077,-0.2808,-0.1318,West Ham,OU25
2026-09-11,West Ham v Wrexham,under25,2.221,2.25,grosvenor,0.4187,0.5505,0.5244,0.5804,0.2386,0.1799,0.3059,0.2227,0.1318,West Ham,OU25
2026-09-12,Bolton v Cardiff,home,2.424,2.5,betfred_uk,0.3833,0.415,0.4255,0.4652,0.0374,0.0637,0.1629,0.0059,0.0317,"Bolton, Cardiff",1X2
2026-09-12,Bolton v Cardiff,draw,3.58,3.8,sportsbet,0.2595,0.2913,0.2907,0.2865,0.107,0.1046,0.0887,0.0429,0.0318,"Bolton, Cardiff",1X2
2026-09-12,Bolton v Cardiff,away,2.601,2.7,tab,0.3572,0.2937,0.2838,0.2483,-0.207,-0.2337,-0.3295,-0.2361,-0.0635,"Bolton, Cardiff",1X2
2026-09-12,Bolton v Cardiff,over25,1.617,1.64,casumo,0.5771,0.4495,0.4495,0.4422,-0.2628,-0.2628,-0.2747,-0.2732,-0.1276,"Bolton, Cardiff",OU25
2026-09-12,Bolton v Cardiff,under25,2.207,2.3,leovegas,0.4229,0.5505,0.5505,0.5578,0.2662,0.2662,0.2829,0.215,0.1276,"Bolton, Cardiff",OU25
2026-09-12,Derby v Birmingham,home,3.189,3.3,betway,0.2915,0.4171,0.4171,0.41,0.3765,0.3765,0.3529,0.3302,0.1256,,1X2
2026-09-12,Derby v Birmingham,draw,3.337,3.5,sportsbet,0.2786,0.3113,0.3113,0.3349,0.0895,0.0895,0.1722,0.0387,0.0327,,1X2
2026-09-12,Derby v Birmingham,away,2.162,2.2,sportsbet,0.43,0.2716,0.2716,0.2551,-0.4025,-0.4025,-0.4387,-0.4128,-0.1584,,1X2
2026-09-12,Derby v Birmingham,over25,1.969,2.0,grosvenor,0.4734,0.4025,0.4025,0.3314,-0.1949,-0.1949,-0.3371,-0.2074,-0.0709,,OU25
2026-09-12,Derby v Birmingham,under25,1.77,1.83,williamhill,0.5266,0.5975,0.5975,0.6686,0.0934,0.0934,0.2235,0.0575,0.0709,,OU25
2026-09-12,West Brom v QPR,home,2.016,2.05,neds,0.4605,0.4953,0.5056,0.44,0.0154,0.0365,-0.098,-0.0015,0.0348,,1X2
2026-09-12,West Brom v QPR,draw,3.555,3.8,sportsbet,0.2611,0.2807,0.2779,0.2913,0.0666,0.0559,0.1068,-0.0021,0.0196,,1X2
2026-09-12,West Brom v QPR,away,3.334,3.6,unibet,0.2784,0.224,0.2165,0.2687,-0.1935,-0.2206,-0.0325,-0.2531,-0.0544,,1X2
2026-09-12,West Brom v QPR,over25,1.74,1.79,unibet,0.536,0.4495,0.4495,0.4439,-0.1954,-0.1954,-0.2053,-0.2179,-0.0865,,OU25
2026-09-12,West Brom v QPR,under25,2.01,2.12,leovegas,0.464,0.5505,0.5505,0.5561,0.1671,0.1671,0.1788,0.1065,0.0865,,OU25
2026-09-12,Blackburn v Millwall,home,2.835,2.95,unibet,0.3279,0.3418,0.3129,0.3716,0.0082,-0.0769,0.0963,-0.0311,0.0138,,1X2
2026-09-12,Blackburn v Millwall,draw,3.359,3.5,sportsbet,0.2768,0.3007,0.2983,0.3098,0.0525,0.0442,0.0843,0.0101,0.0239,,1X2
2026-09-12,Blackburn v Millwall,away,2.352,2.4,sportsbet,0.3953,0.3575,0.3888,0.3185,-0.1419,-0.067,-0.2355,-0.1591,-0.0377,,1X2
2026-09-12,Blackburn v Millwall,over25,1.877,1.93,unibet,0.4958,0.4495,0.4495,0.4184,-0.1325,-0.1325,-0.1925,-0.1563,-0.0463,,OU25
2026-09-12,Blackburn v Millwall,under25,1.846,1.93,playup,0.5042,0.5505,0.5505,0.5816,0.0625,0.0625,0.1225,0.0162,0.0463,,OU25
2026-09-12,Charlton v Portsmouth,home,2.649,2.75,betway,0.3509,0.3702,0.3702,0.3467,0.0181,0.0181,-0.0465,-0.0193,0.0193,,1X2
