date,match,team,side,aligned,opposed,net,best_price,model_p,ev_best,dc_reset,aligned_detail,opposed_detail
2026-09-13,Sheffield United v Wolves,Sheffield United,home,7,0,7,3.1,0.486956,0.5095636000000001,Wolves,Sheffield United All games +8.7pp (n=138); Sheffield United Home games +9.8pp (n=69); Sheffield United Sunday +21.3pp (n=9); Sheffield United September +25.9pp (n=12); Sheffield United After a win +9.3pp (n=77); Sheffield United Normal rest (4-8 days) +13.2pp (n=74); Sheffield United Competitive (2.50–3.49 fair) +10.7pp (n=28),None
2026-09-12,Swansea v Burnley,Burnley,away,6,2,4,3.3,0.282508,-0.0677236000000001,Burnley,Burnley All games +12.8pp (n=92); Burnley Away games +17.1pp (n=46); Burnley Saturday +16.5pp (n=42); Burnley September +8.5pp (n=6); Burnley After a draw +13.3pp (n=30); Burnley Normal rest (4-8 days) +8.9pp (n=50),Swansea September +11.0pp (n=19); Swansea Favourite (1.80–2.49 fair) +7.7pp (n=74)
2026-09-12,Watford v Stoke,Watford,home,4,1,3,2.45,0.475174,0.16417630000000005,,Watford vs Stoke +25.4pp (n=8); Stoke September -13.5pp (n=19); Stoke After a draw -8.4pp (n=62); Stoke vs Watford -21.0pp (n=8),Watford September -10.2pp (n=15)
2026-09-12,Derby v Birmingham,Birmingham,away,2,0,2,2.2,0.2716,-0.40247999999999995,,Derby Short rest (<=3 days) -11.7pp (n=41); Derby Competitive (2.50–3.49 fair) -12.3pp (n=46),None
2026-09-12,Preston v Lincoln,Lincoln,away,2,0,2,3.15,0.32785,0.0327274999999998,Lincoln,Preston September -17.0pp (n=19); Preston Favourite (1.80–2.49 fair) -14.1pp (n=41),None
2026-09-12,Middlesbrough v Norwich,Middlesbrough,home,3,1,2,1.91,0.463744,-0.11424896000000007,,Middlesbrough vs Norwich +11.5pp (n=8); Norwich Underdog (3.50+ fair) -13.2pp (n=22); Norwich vs Middlesbrough -22.5pp (n=8),Middlesbrough September -11.8pp (n=19)
2026-09-12,Southampton v Bristol City,Southampton,home,3,2,1,1.71,0.5685,-0.02786500000000003,,Southampton Saturday +8.5pp (n=28); Southampton Short favourite (<1.80 fair) +10.9pp (n=22); Bristol City After a win -9.7pp (n=79),Southampton September -17.2pp (n=5); Bristol City September +10.1pp (n=19)
2026-09-12,West Brom v QPR,QPR,away,4,3,1,3.6,0.224016,-0.1935424,,QPR Underdog (3.50+ fair) +8.8pp (n=92); West Brom September -16.4pp (n=16); West Brom After a win -8.8pp (n=71); West Brom Short rest (<=3 days) -9.0pp (n=51),QPR September -11.1pp (n=19); QPR vs West Brom -13.1pp (n=8); West Brom vs QPR +15.8pp (n=8)
2026-09-12,Blackburn v Millwall,Blackburn,home,2,1,1,2.95,0.341755,0.008177249999999914,,Blackburn vs Millwall +23.4pp (n=10); Millwall vs Blackburn -23.9pp (n=10),Millwall Normal rest (4-8 days) +8.0pp (n=123)
2026-09-12,Charlton v Portsmouth,Portsmouth,away,2,1,1,2.8,0.322057,-0.09824040000000012,,Portsmouth Normal rest (4-8 days) +10.1pp (n=24); Portsmouth Competitive (2.50–3.49 fair) +16.3pp (n=10),Portsmouth Away games -7.6pp (n=23)
2026-09-11,West Ham v Wrexham,Wrexham,away,0,0,0,5.5,0.3084,0.6962000000000002,West Ham,None,None
2026-09-11,West Ham v Wrexham,West Ham,home,0,0,0,1.62,0.39992,-0.35212959999999993,West Ham,None,None
2026-09-12,Bolton v Cardiff,Bolton,home,0,0,0,2.5,0.41498,0.03744999999999998,"Bolton, Cardiff",None,None
2026-09-12,Bolton v Cardiff,Cardiff,away,0,0,0,2.7,0.2937,-0.20700999999999992,"Bolton, Cardiff",None,None
2026-09-12,Southampton v Bristol City,Bristol City,away,2,3,-1,4.75,0.19966,-0.051614999999999966,,Bristol City September +10.1pp (n=19); Southampton September -17.2pp (n=5),Bristol City After a win -9.7pp (n=79); Southampton Saturday +8.5pp (n=28); Southampton Short favourite (<1.80 fair) +10.9pp (n=22)
