season,date,match,side,model_p,price,close,ev,won,pnl,clv
2025/26,2025-08-09,Oxford v Portsmouth,OVER,0.5029329140797604,2.1,2.15,0.05615911956749686,False,-1.0,-0.023255813953488302
2025/26,2025-08-09,Southampton v Wrexham,OVER,0.5868537084555118,1.98,2.09,0.16197034274191324,True,0.98,-0.05263157894736836
2025/26,2025-08-10,Leicester v Sheffield Weds,OVER,0.6900365727913972,1.53,1.67,0.055755956370837634,True,0.53,-0.08383233532934131
2025/26,2025-08-16,Portsmouth v Norwich,OVER,0.5549317345790072,1.98,1.92,0.09876483446643425,True,0.98,0.03125
2025/26,2025-08-16,Wrexham v West Brom,UNDER,0.6255245811883107,1.68,1.65,0.05088129639636185,False,-1.0,0.0181818181818183
2025/26,2025-08-17,Hull v Oxford,UNDER,0.6412591387713575,1.63,1.6,0.045252396197312805,False,-1.0,0.018749999999999822
2025/26,2025-08-17,Ipswich v Southampton,OVER,0.6495823821340185,1.91,1.77,0.24070234987597527,False,-1.0,0.07909604519774005
2025/26,2025-08-23,Southampton v Stoke,OVER,0.5760734064149118,2.0,1.89,0.15214681282982356,True,1.0,0.058201058201058364
2025/26,2025-08-23,Norwich v Middlesbrough,OVER,0.5850219276846851,1.93,1.92,0.12909232043144225,True,0.9299999999999999,0.005208333333333259
2025/26,2025-08-23,Wrexham v Sheffield Weds,OVER,0.7229464824191933,1.82,1.88,0.31576259800293194,True,0.8200000000000001,-0.031914893617021156
2025/26,2025-08-23,Sheffield United v Millwall,UNDER,0.6220591702851772,1.67,1.85,0.03883881437624592,True,0.6699999999999999,-0.09729729729729741
2025/26,2025-08-29,Leicester v Birmingham,OVER,0.46665665001415446,2.22,2.05,0.03597776303142308,False,-1.0,0.08292682926829298
2025/26,2025-08-30,Middlesbrough v Sheffield United,UNDER,0.5389241294414953,1.95,1.91,0.05090205241091583,True,0.95,0.020942408376963373
2025/26,2025-08-30,Ipswich v Derby,OVER,0.5290947220747778,2.1,2.16,0.1110989163570335,True,1.1,-0.02777777777777779
2025/26,2025-08-30,Watford v Southampton,OVER,0.5097452254758212,2.03,1.95,0.03478280771591691,True,1.0299999999999998,0.04102564102564088
2025/26,2025-08-30,QPR v Charlton,UNDER,0.6256277182088286,1.73,1.71,0.08233595250127346,False,-1.0,0.011695906432748648
