season,date,home,away,actual,over,old_1x2,old_ou,old_lam,new_1x2,new_ou,new_lam,mkt_src,mkt_1x2
2015/16,2015-08-15,QPR,Cardiff,D,True,1.5983496154486798,0.0713885960876529,5.855049141765442,1.5983496154486798,0.0713885960876529,5.855049141765442,PSCH,1.2917366949126396
2015/16,2015-08-15,Milton Keynes Dons,Preston,A,False,1.2469151006537664,0.687363935804218,2.662434467458559,1.2469151006537664,0.687363935804218,2.662434467458559,PSCH,1.1604460523256714
2015/16,2015-08-15,Burnley,Birmingham,D,True,1.5929458216852366,0.07720507090897151,5.749297401960472,1.5929458216852366,0.07720507090897151,5.749297401960472,PSCH,1.2548138225389913
2015/16,2015-08-15,Bristol City,Brentford,A,True,0.7570159059601681,0.047196434830974694,6.411234001123384,0.7570159059601681,0.047196434830974694,6.411234001123384,PSCH,1.0671805159678645
2015/16,2015-08-16,Wolves,Hull,D,False,1.6832082729141722,2.9937342708913173,6.300188122240164,1.6832082729141722,2.9937342708913173,6.300188122240164,PSCH,1.210720076287524
2015/16,2015-08-18,Ipswich,Burnley,H,False,0.4636558192896008,1.9477117710019418,4.801692712658756,0.4636558192896008,1.9477117710019418,4.801692712658756,PSCH,0.7998996888232103
2015/16,2015-08-18,Milton Keynes Dons,Bolton,H,False,0.6219106706820388,1.3401744255063375,3.844904181596135,0.6219106706820388,1.3401744255063375,3.844904181596135,PSCH,0.6363010998510057
2015/16,2015-08-18,Rotherham,Preston,D,False,1.5390892530751386,1.754463684484358,4.505880073364005,1.5390892530751386,1.754463684484358,4.505880073364005,PSCH,1.207886927398336
2015/16,2015-08-19,Wolves,QPR,A,True,1.9168466150699148,0.08762974996097406,5.58491021685442,1.9168466150699148,0.08762974996097406,5.58491021685442,PSCH,1.3434572780195992
2015/16,2015-08-19,Bristol City,Leeds,D,True,1.5050478966598486,0.1729258351535924,4.637200422945288,1.5050478966598486,0.1729258351535924,4.637200422945288,PSCH,1.3491105065871836
2015/16,2015-08-19,Hull,Fulham,H,True,0.6420088935355548,0.0998203352822109,5.398520644684462,0.6420088935355548,0.0998203352822109,5.398520644684462,PSCH,0.506750806277509
2015/16,2015-08-22,Middlesbrough,Bristol City,A,False,1.9316424189243042,1.3067440823618814,3.789565749403441,1.9316424189243042,1.3067440823618814,3.789565749403441,PSCH,1.8360591099494301
2015/16,2015-08-22,Burnley,Brentford,H,False,0.9080841684077403,1.612944051763388,4.2851239414836755,0.9080841684077403,1.612944051763388,4.2851239414836755,PSCH,0.7941353109045357
2015/16,2015-08-22,Charlton,Hull,H,True,0.8045034124328498,0.33505324386779883,3.7043574326461446,0.8045034124328498,0.33505324386779883,3.7043574326461446,PSCH,1.3813214198400103
2015/16,2015-08-22,Preston,Ipswich,A,True,0.9425020426293732,0.26071562422196665,4.059805804766931,0.9425020426293732,0.26071562422196665,4.059805804766931,PSCH,1.2354651090705697
2015/16,2015-08-22,QPR,Rotherham,H,True,0.4624800028357087,0.41218765386899114,3.4102454449419195,0.4624800028357087,0.41218765386899114,3.4102454449419195,PSCH,0.5772722401504994
2015/16,2015-08-22,Reading,Milton Keynes Dons,D,False,1.4098724834741345,1.0697333291177331,3.3825865588131068,1.4098724834741345,1.0697333291177331,3.3825865588131068,PSCH,1.2333875985371718
2015/16,2015-08-29,Milton Keynes Dons,Birmingham,A,False,1.2381802556775314,0.7478145819022534,2.7835678097224674,1.2381802556775314,0.7478145819022534,2.7835678097224674,PSCH,1.309445439463946
2015/16,2015-08-29,Hull,Preston,H,False,0.8490292372639842,0.6723646413774169,2.6317066258179924,0.8490292372639842,0.6723646413774169,2.6317066258179924,PSCH,0.7365529544018216
2015/16,2015-08-29,Huddersfield,QPR,A,False,1.0618190378227819,0.9083225622249782,3.0907670622806416,1.0618190378227819,0.9083225622249782,3.0907670622806416,PSCH,1.1383475063195225
2015/16,2015-08-29,Bristol City,Burnley,A,True,1.2086534144337335,0.714370817011572,2.6317066258179924,1.2086534144337335,0.714370817011572,2.6317066258179924,PSCH,1.1698706055627264
2015/16,2015-09-12,Preston,Derby,A,True,0.9394825961508307,0.5342648554997536,3.0417273680832495,1.0537727751954178,0.8964881045779755,2.315401442263944,PSCH,0.9986927576859036
2015/16,2015-09-12,QPR,Nott'm Forest,A,True,1.1743169194184253,0.4552332503422856,3.2688142412493217,1.5435565433205876,0.3149847549797898,3.792278176819824,PSCH,1.5689970148049668
2015/16,2015-09-12,Middlesbrough,Milton Keynes Dons,H,False,0.53670348628453,0.6409343091130112,2.566871908906635,0.8317268575752301,0.8018465974832862,2.889223069431036,PSCH,0.4025200888929639
2015/16,2015-09-12,Burnley,Sheffield Weds,H,True,0.9422497710442512,0.7580057529084417,2.5487375994852863,0.7596347969797753,0.9306432380985556,2.2636602465548803,PSCH,0.7319505873973104
2015/16,2015-09-12,Birmingham,Bristol City,H,True,0.8595551556028173,0.709276562489829,2.641885162154451,0.7346777594001178,0.5223922601374562,3.0734449573672817,PSCH,1.028354164339325
