league,match,score,result,total_goals,over25,m_h,m_d,m_a,c_h,c_d,c_a,m_over,c_over,rps_model,rps_open,rps_close,ll_model,ll_close,br_model,br_close,ou_ll_model,ou_ll_close,ou_br_model,ou_br_close,model_beat_close_1x2,model_beat_close_ou,clv_1x2_pick,clv_1x2_open,clv_1x2_close,clv_1x2_ev_open_pct,clv_1x2_pct,clv_1x2_won,clv_ou_pick,clv_ou_open,clv_ou_close,clv_ou_ev_open_pct,clv_ou_pct,clv_ou_won
EFL,Lincoln v Southampton,1-1,D,2,False,0.2729,0.2482,0.4789,0.2289,0.2394,0.5316,0.5591,0.5707,0.1519,0.164,0.1675,1.3936,1.4295,0.8691,0.9135,0.819,0.8456,0.3126,0.3257,True,True,HOME,4.06,4.11,10.8,-1.22,False,OVER,1.68,1.64,-6.07,2.44,False
EFL,Preston v Blackburn,2-1,H,3,True,0.3543,0.2981,0.3476,0.4066,0.2804,0.3131,0.4495,0.4987,0.2689,0.2336,0.2251,1.0376,0.9,0.6266,0.5288,0.7996,0.6958,0.3031,0.2513,False,False,AWAY,2.93,3.0,1.85,-2.33,False,UNDER,1.79,1.86,-1.46,-3.76,False
EFL,Stoke v Charlton,4-0,H,4,True,0.3772,0.3121,0.3107,0.4695,0.2872,0.2433,0.3548,0.4293,0.2422,0.1901,0.1703,0.975,0.756,0.5818,0.423,1.0361,0.8456,0.4162,0.3257,False,False,AWAY,3.49,3.86,8.43,-9.59,False,UNDER,1.7,1.64,9.68,3.66,False
EFL,Burnley v Bristol City,1-2,A,3,True,0.4225,0.2874,0.2901,0.4813,0.2629,0.2558,0.4495,0.5187,0.3413,0.4157,0.3928,1.2377,1.3636,0.7651,0.8547,0.7996,0.6564,0.3031,0.2316,True,False,AWAY,3.93,3.67,14.01,7.08,True,UNDER,1.95,1.94,7.35,0.52,False
EFL,Millwall v Bolton,4-0,H,4,True,0.433,0.3068,0.2602,0.4796,0.2717,0.2487,0.3548,0.5067,0.1946,0.1515,0.1663,0.837,0.7348,0.4833,0.4065,1.0361,0.6798,0.4162,0.2433,False,False,AWAY,4.19,3.78,9.02,10.85,False,UNDER,1.75,1.89,12.91,-7.41,False
EFL,Portsmouth v Cardiff,2-0,H,2,False,0.3783,0.2955,0.3262,0.3908,0.2668,0.3425,0.4495,0.5681,0.2464,0.2371,0.2442,0.972,0.9396,0.5802,0.5596,0.5969,0.8395,0.202,0.3227,False,True,DRAW,3.5,3.53,3.42,-0.85,False,UNDER,2.07,2.17,13.95,-4.61,True
EFL,QPR v Middlesbrough,0-1,A,1,False,0.3109,0.2677,0.4215,0.3247,0.2636,0.4116,0.4756,0.5669,0.2157,0.2054,0.2258,0.864,0.8876,0.503,0.5211,0.6455,0.8369,0.2262,0.3214,True,True,HOME,3.14,2.89,-2.38,8.65,False,UNDER,2.03,2.16,6.45,-6.02,True
EFL,Sheffield United v Norwich,1-3,A,4,True,0.5073,0.2664,0.2263,0.3669,0.2691,0.364,0.4756,0.5567,0.4279,0.2762,0.2695,1.4857,1.0105,0.9268,0.6115,0.7432,0.5857,0.275,0.1965,False,False,HOME,2.53,2.56,28.35,-1.17,False,UNDER,1.97,2.11,3.31,-6.64,False
EFL,West Brom v Watford,1-0,H,1,False,0.4744,0.2888,0.2368,0.5488,0.2503,0.201,0.4495,0.5227,0.1661,0.1491,0.122,0.7457,0.6,0.4157,0.3066,0.5969,0.7395,0.202,0.2732,False,True,DRAW,3.56,3.75,2.81,-5.07,False,UNDER,1.88,1.96,3.49,-4.08,True
EFL,West Ham v Derby,3-0,H,3,True,0.42,0.284,0.2959,0.7018,0.1802,0.118,0.4756,0.6107,0.212,0.055,0.0514,0.8674,0.3541,0.5046,0.1353,0.7432,0.4932,0.275,0.1516,False,False,AWAY,8.01,7.97,137.02,0.5,False,UNDER,2.12,2.4,11.17,-11.67,False
EFL,Swansea v Wrexham,0-0,D,0,False,0.4445,0.2719,0.2836,0.4196,0.2848,0.2956,0.4756,0.4747,0.139,0.1353,0.1317,1.3024,1.2559,0.8082,0.7749,0.6455,0.6437,0.2262,0.2253,False,False,HOME,2.17,2.24,-3.54,-3.13,False,UNDER,1.81,1.78,-5.08,1.69,True
EFL,Birmingham v Wolves,2-2,D,4,True,0.4441,0.2803,0.2756,0.3291,0.2784,0.3925,0.4756,0.5053,0.1366,0.1277,0.1312,1.2719,1.2788,0.7911,0.7832,0.7432,0.6825,0.275,0.2447,False,False,HOME,2.87,2.85,27.46,0.7,False,OVER,2.06,1.85,-2.03,11.35,True
