match,score,result,over25,normal_rps,normal_ll,normal_brier,normal_ou_ll,normal_1x2_pick,normal_1x2_clv,normal_1x2_pnl,normal_ou_pick,normal_ou_clv,normal_ou_pnl,shadow_rps,shadow_ll,shadow_brier,shadow_ou_ll,shadow_1x2_pick,shadow_1x2_clv,shadow_1x2_pnl,shadow_ou_pick,shadow_ou_clv,shadow_ou_pnl,market_rps,market_ll,market_brier,market_ou_ll
Ipswich v Liverpool,0-2,A,False,0.1229,0.5835,0.2932,1.1192,H,12.76,-1.0,UNDER,12.41,1.99,0.1402,0.6304,0.3284,1.1932,H,12.76,-1.0,OVER,-5.52,-1.0,0.1048,0.5345,0.2574,1.0419
Newcastle v Bournemouth,2-2,D,True,0.1541,1.4758,0.9033,0.2513,A,-0.93,-1.0,OVER,-1.9,0.55,0.1528,1.4627,0.896,0.2697,A,-0.93,-1.0,OVER,-1.9,0.55,0.1427,1.3474,0.8332,0.5194
Brentford v Sunderland,1-1,D,False,0.153,1.3539,0.8562,0.8174,A,8.18,-1.0,OVER,1.68,-1.0,0.1501,1.3115,0.834,0.6984,A,8.18,-1.0,UNDER,-2.03,0.93,0.1767,1.4078,0.9239,0.7422
Brighton v Leeds,1-1,D,False,0.1499,1.355,0.8504,0.8174,A,-1.34,-1.0,OVER,5.11,-1.0,0.1415,1.3206,0.8202,0.7654,A,-1.34,-1.0,OVER,5.11,-1.0,0.1505,1.3466,0.8484,0.7618
Fulham v Crystal Palace,2-3,A,True,0.3737,1.3037,0.8165,0.5826,H,7.41,-1.0,OVER,2.72,0.89,0.3983,1.383,0.8663,0.6211,H,7.41,-1.0,OVER,2.72,0.89,0.3534,1.2639,0.7847,0.6721
Man City v Coventry,1-0,H,False,0.0227,0.224,0.0621,1.1192,A,6.87,-1.0,UNDER,7.46,2.17,0.0187,0.2039,0.0534,0.9907,D,6.41,-1.0,UNDER,7.46,2.17,0.0236,0.2292,0.0646,1.1435
Nott'm Forest v Tottenham,0-0,D,False,0.1372,1.3204,0.8116,0.7381,H,-9.09,-1.0,OVER,3.8,-1.0,0.1322,1.2826,0.7867,0.6535,H,-9.09,-1.0,UNDER,-4.69,0.83,0.1297,1.2741,0.7783,0.7147
Hull v Aston Villa,0-0,D,False,0.1386,1.3375,0.8212,0.8174,H,3.06,-1.0,OVER,1.67,-1.0,0.1416,1.3568,0.8346,0.8624,H,3.06,-1.0,OVER,1.67,-1.0,0.1527,1.339,0.85,0.7366
Everton v Man United,2-2,D,True,0.1453,1.4007,0.8586,0.3953,H,-12.05,-1.0,OVER,6.37,0.67,0.1421,1.3624,0.8376,0.4682,H,-12.05,-1.0,OVER,6.37,0.67,0.1556,1.3979,0.878,0.5134
Arsenal v Chelsea,2-1,H,True,0.1057,0.5357,0.2582,0.3953,H,-0.59,0.69,OVER,1.17,0.73,0.1186,0.5763,0.2879,0.4289,A,1.69,-1.0,OVER,1.17,0.73,0.1186,0.5879,0.2974,0.6022
