league,match,score,result,total_goals,over25,m_h,m_d,m_a,c_h,c_d,c_a,m_over,c_over,rps_model,rps_open,rps_close,ll_model,ll_close,br_model,br_close,ou_ll_model,ou_ll_close,ou_br_model,ou_br_close,model_beat_close_1x2,model_beat_close_ou,clv_1x2_pick,clv_1x2_open,clv_1x2_close,clv_1x2_ev_open_pct,clv_1x2_pct,clv_1x2_won,clv_ou_pick,clv_ou_open,clv_ou_close,clv_ou_ev_open_pct,clv_ou_pct,clv_ou_won
EPL,Ipswich v Liverpool,0-2,A,2,False,0.2242,0.2179,0.5579,0.1953,0.2187,0.586,0.6735,0.6472,0.1229,0.0832,0.1048,0.5835,0.5345,0.2932,0.2574,1.1192,1.0419,0.4536,0.4189,False,False,HOME,5.48,4.86,22.86,12.76,False,UNDER,2.99,2.66,-2.38,12.41,True
EPL,Newcastle v Bournemouth,2-2,D,4,True,0.4586,0.2286,0.3128,0.4463,0.2599,0.2938,0.7778,0.5949,0.1541,0.1434,0.1427,1.4758,1.3474,0.9033,0.8332,0.2513,0.5194,0.0494,0.1641,False,True,AWAY,3.19,3.22,-0.22,-0.93,False,OVER,1.55,1.58,20.56,-1.9,True
EPL,Brentford v Sunderland,1-1,D,2,False,0.495,0.2582,0.2467,0.5622,0.2447,0.1931,0.5584,0.5239,0.153,0.1845,0.1767,1.3539,1.4078,0.8562,0.9239,0.8174,0.7422,0.3119,0.2745,True,False,AWAY,5.29,4.89,30.5,8.18,False,OVER,1.82,1.79,1.63,1.68,False
EPL,Brighton v Leeds,1-1,D,2,False,0.4816,0.2579,0.2605,0.4867,0.2601,0.2531,0.5584,0.5332,0.1499,0.1461,0.1505,1.355,1.3466,0.8504,0.8484,0.8174,0.7618,0.3119,0.2843,True,False,AWAY,3.68,3.73,-4.14,-1.34,False,OVER,1.85,1.76,3.3,5.11,False
EPL,Fulham v Crystal Palace,2-3,A,5,True,0.4655,0.263,0.2715,0.4382,0.2792,0.2826,0.5584,0.5106,0.3737,0.3197,0.3534,1.3037,1.2639,0.8165,0.7847,0.5826,0.6721,0.195,0.2395,False,True,HOME,2.32,2.16,8.0,7.41,False,OVER,1.89,1.84,5.54,2.72,True
EPL,Man City v Coventry,1-0,H,1,False,0.7993,0.1292,0.0714,0.7952,0.1318,0.073,0.6735,0.6813,0.0227,0.0208,0.0236,0.224,0.2292,0.0621,0.0646,1.1192,1.1435,0.4536,0.4642,True,True,AWAY,13.85,12.96,-1.11,6.87,False,UNDER,3.17,2.95,3.5,7.46,True
EPL,Nott'm Forest v Tottenham,0-0,D,0,False,0.4199,0.267,0.3131,0.3581,0.2797,0.3622,0.522,0.5106,0.1372,0.1307,0.1297,1.3204,1.2741,0.8116,0.7783,0.7381,0.7147,0.2725,0.2608,False,False,HOME,2.4,2.64,0.78,-9.09,False,OVER,1.91,1.84,-0.3,3.8,False
EPL,Hull v Aston Villa,0-0,D,0,False,0.3173,0.2625,0.4202,0.24,0.2621,0.4979,0.5584,0.5213,0.1386,0.1555,0.1527,1.3375,1.339,0.8212,0.85,0.8174,0.7366,0.3119,0.2717,True,False,HOME,4.04,3.92,28.19,3.06,False,OVER,1.83,1.8,2.19,1.67,False
EPL,Everton v Man United,2-2,D,4,True,0.4349,0.2464,0.3187,0.2586,0.2471,0.4942,0.6735,0.5985,0.1453,0.1407,0.1556,1.4007,1.3979,0.8586,0.878,0.3953,0.5134,0.1066,0.1612,True,True,HOME,3.21,3.65,39.6,-12.05,False,OVER,1.67,1.57,12.47,6.37,True
EPL,Arsenal v Chelsea,2-1,H,3,True,0.5853,0.2161,0.1987,0.5555,0.2453,0.1992,0.6735,0.5476,0.1057,0.1172,0.1186,0.5357,0.5879,0.2582,0.2974,0.3953,0.6022,0.1066,0.2046,True,True,HOME,1.69,1.7,-1.08,-0.59,True,OVER,1.73,1.71,16.52,1.17,True
