home,away,sydney_match_date,status,home_fair_odds,draw_fair_odds,away_fair_odds
AEK Athens,LASK,2026-09-09,BLOCKED_MISSING_CROSS_LEAGUE_STRENGTH,,,
Club Brugge,Aston Villa,2026-09-09,PROVISIONAL_RESEARCH_PRICE,2.5728402979817235,3.3000835484086175,3.243574284649587
Borussia Dortmund,Villarreal,2026-09-09,PROVISIONAL_RESEARCH_PRICE,1.67214528081467,4.125606568786402,6.266557846304585
Porto,Manchester City,2026-09-09,PROVISIONAL_RESEARCH_PRICE,3.6586546573777796,3.5382433921085874,2.252001853460357
Lille,Real Betis,2026-09-09,BLOCKED_MISSING_CROSS_LEAGUE_STRENGTH,,,
Real Madrid,Inter,2026-09-09,PROVISIONAL_RESEARCH_PRICE,3.0143521718709185,3.5867495726119056,2.567725062365987
Barcelona,Feyenoord,2026-09-10,PROVISIONAL_RESEARCH_PRICE,1.4642913732851048,5.620707432495099,7.185856161580049
Stuttgart,Viking,2026-09-10,BLOCKED_MISSING_CROSS_LEAGUE_STRENGTH,,,
Liverpool,Atlético de Madrid,2026-09-10,PROVISIONAL_RESEARCH_PRICE,1.6340064517747477,4.457346240759992,6.110281715118507
Paris Saint-Germain,Slovan Bratislava,2026-09-10,PROVISIONAL_RESEARCH_PRICE,1.1675269934481427,10.970686540002813,19.107030744303238
Sporting CP,Galatasaray,2026-09-10,PROVISIONAL_RESEARCH_PRICE,1.5923572607758714,4.739756631091129,6.210449943165054
Napoli,Arsenal,2026-09-10,PROVISIONAL_RESEARCH_PRICE,4.216116916364203,4.071403822927086,1.933490260699571
