home,away,status,normal_home,normal_draw,normal_away,shadow_home,shadow_draw,shadow_away
AEK Athens,LASK,BLOCKED,,,,,,
Club Brugge,Aston Villa,RESEARCH_PLAYER_SHADOW,2.5728402979817235,3.3000835484086175,3.243574284649587,2.532959409582586,3.510647741497256,3.1215159302969058
Borussia Dortmund,Villarreal,RESEARCH_PLAYER_SHADOW,1.67214528081467,4.125606568786402,6.266557846304585,1.6846425836855081,4.290567483252939,5.769246008890406
Porto,Manchester City,RESEARCH_PLAYER_SHADOW,3.6586546573777796,3.5382433921085874,2.252001853460357,4.0736152350275034,3.6834470137831823,2.070252042013325
Lille,Real Betis,BLOCKED,,,,,,
Real Madrid,Inter,RESEARCH_PLAYER_SHADOW,3.0143521718709185,3.5867495726119056,2.567725062365987,2.5851478953094214,3.5852372772878396,2.9917424718608596
Barcelona,Feyenoord,RESEARCH_PLAYER_SHADOW,1.4642913732851048,5.620707432495099,7.185856161580049,1.4798901268902795,5.69275532526904,6.7289182465836985
Stuttgart,Viking,BLOCKED,,,,,,
Liverpool,Atlético de Madrid,RESEARCH_PLAYER_SHADOW,1.6340064517747477,4.457346240759992,6.110281715118507,1.6456173423598772,4.602227238024012,5.713005452637691
Paris Saint-Germain,Slovan Bratislava,RESEARCH_PLAYER_SHADOW,1.1675269934481427,10.970686540002813,19.107030744303238,1.1507007205983135,11.914638002399776,21.261245404278128
Sporting CP,Galatasaray,RESEARCH_PLAYER_SHADOW,1.5923572607758714,4.739756631091129,6.210449943165054,1.5921144147056747,4.589605525166382,6.492630088123062
Napoli,Arsenal,RESEARCH_PLAYER_SHADOW,4.216116916364203,4.071403822927086,1.933490260699571,5.1697692034341305,4.2922633709939895,1.7434041971697958
