id,date,match,market,team,odds,stake,result,support_10,support_20,support_30,conflict_10,conflict_20,conflict_30,support_rows,conflict_rows
326,2026-05-01,Western Bulldogs vs Fremantle,Western Bulldogs,Western Bulldogs,3.21,33.0,loss,1,0,0,3,1,1,5.9% May; 11.6% Full Moon (±1 day),17.2% Win % — Home; 9.2% Day Games (kick-off < 18:00); 10.9% Thursday / Friday Games; 33.5% vs Fremantle; 1.3% Marvel Stadium
330,2026-05-02,Carlton vs St Kilda,Carlton,Carlton Blues,2.55,40.0,loss,1,0,0,5,2,0,2.4% Day Games (kick-off < 18:00); 10.7% Full Moon (±1 day),4.7% Win % — Home; 18.5% Saturday Games; 13.8% After a Loss; 21.2% May; 29.0% vs St Kilda; 11.1% Marvel Stadium
334,2026-05-08,Port Adelaide vs W Bulldogs,Port Adelaide Win,Port Adelaide Power,1.96,50.0,loss,2,1,1,1,0,0,5.9% Win % — Home; 15.2% Thursday / Friday Games; 1.9% May; 52.7% vs Western Bulldogs,10.1% After a Loss
346,2026-05-16,Carlton vs Western Bulldogs,Carlton Win,Carlton Blues,2.56,25.0,win,0,0,0,6,2,1,2.4% Day Games (kick-off < 18:00),4.7% Win % — Home; 18.5% Saturday Games; 13.8% After a Loss; 21.2% May; 14.0% New Moon (±1 day); 52.2% vs Western Bulldogs; 11.1% Marvel Stadium
352,2026-05-21,Hawthorn vs Adelaide Crows,Hawthorn Win,Hawthorn Hawks,1.41,55.0,win,5,5,2,0,0,0,25.5% Win % — Home; 7.3% Day Games (kick-off < 18:00); 20.7% Thursday / Friday Games; 20.7% Short Rest (≤ 6 days); 1.2% After a Loss; 4.9% May; 51.0% vs Adelaide; 51.2% UTAS Stadium,
353,2026-05-21,Hawthorn vs Adelaide Crows,Adelaide Crows Win,Adelaide Crows,2.88,25.0,loss,0,0,0,5,3,2,,20.2% Win % — Away; 7.4% Day Games (kick-off < 18:00); 31.6% Thursday / Friday Games; 14.0% Short Rest (≤ 6 days); 10.6% After a Win; 1.7% May; 49.6% vs Hawthorn
378,2026-05-30,Western Bulldogs vs Collingwood,Collingwood Win,Collingwood Magpies,2.26,25.0,loss,3,1,0,0,0,0,7.4% Win % — Away; 14.1% Day Games (kick-off < 18:00); 14.0% After a Win; 21.0% May; 6.6% Full Moon (±1 day),1.1% Saturday Games; 9.4% vs Western Bulldogs; 1.6% Marvel Stadium
385,2026-05-31,West Coast Eagles vs Essendon,Essendon Win,Essendon Bombers,2.39,25.0,loss,1,0,0,3,1,0,5.8% Sunday Games; 19.6% May; 2.7% vs West Coast,28.7% Win % — Away; 9.2% After a Loss; 14.5% Full Moon (±1 day); 17.2% Optus Stadium
400,2026-06-08,Collingwood vs Melbourne,Collingwood Win,Collingwood Magpies,1.9,20.0,loss,5,1,1,0,0,0,13.1% Win % — Home; 14.1% Day Games (kick-off < 18:00); 18.2% June; 54.0% vs Melbourne; 12.6% MCG,
401,2026-06-08,Collingwood vs Melbourne,Collingwood Win,Collingwood Magpies,1.9,25.0,loss,5,1,1,0,0,0,13.1% Win % — Home; 14.1% Day Games (kick-off < 18:00); 18.2% June; 54.0% vs Melbourne; 12.6% MCG,
404,2026-06-11,Western Bulldogs vs Adelaide Crows,Adelaide Crows Win,Adelaide Crows,2.1,25.0,win,2,2,1,4,3,1,116.1% vs Western Bulldogs; 29.8% Marvel Stadium,20.2% Win % — Away; 7.4% Day Games (kick-off < 18:00); 31.6% Thursday / Friday Games; 10.6% After a Win; 23.5% June
405,2026-06-11,Western Bulldogs vs Adelaide Crows,Adelaide Crows Win,Adelaide Crows,2.07,25.0,win,2,2,1,4,3,1,116.1% vs Western Bulldogs; 29.8% Marvel Stadium,20.2% Win % — Away; 7.4% Day Games (kick-off < 18:00); 31.6% Thursday / Friday Games; 10.6% After a Win; 23.5% June
