id,date,match,market,team,line,odds,stake,result,support_10,support_20,support_30,conflict_10,conflict_20,conflict_30,support_rows,conflict_rows
317,2026-04-17,Geelong vs Western Bulldogs,Geelong -10.5,Geelong Cats,-10.5,1.9,50.0,win,7,2,2,1,0,0,19.2% Cover Rate — Home; 13.8% Day Games (kick-off < 18:00); 4.0% Thursday / Friday Games; 13.4% Short Rest (≤ 6 days); 15.2% After a Win; 47.4% April; 42.8% vs Western Bulldogs; 13.6% GMHBA Stadium; 5.2% As Favourite (line < 0),11.2% New Moon (±1 day)
335,2026-05-09,Gold Coast vs St Kilda,Gold Coast -17.5,Gold Coast Suns,-17.5,1.89,50.0,win,5,4,2,1,1,0,33.4% Cover Rate — Home; 7.2% Short Rest (≤ 6 days); 11.2% May; 20.0% vs St Kilda; 75.0% TIO Stadium; 21.0% As Favourite (line < 0),1.6% Day Games (kick-off < 18:00); 1.8% Saturday Games; 21.8% After a Win
336,2026-05-09,Geelong vs Collingwood,Geelong -11.5,Geelong Cats,-11.5,1.89,50.0,win,5,0,0,1,1,0,19.2% Cover Rate — Home; 13.8% Day Games (kick-off < 18:00); 19.2% Saturday Games; 15.2% After a Win; 17.2% MCG; 5.2% As Favourite (line < 0),25.0% May
342,2026-05-15,Sydney Swans vs Collingwood,Collingwood +35.5,Collingwood Magpies,35.5,1.91,25.0,win,5,4,3,1,0,0,10.6% Cover Rate — Away; 8.2% Thursday / Friday Games; 5.8% Short Rest (≤ 6 days); 26.4% May; 33.4% vs Sydney; 33.4% SCG; 40.0% As Underdog  (line > 0),13.8% Day Games (kick-off < 18:00); 3.2% After a Loss
343,2026-05-15,Gold Coast vs Port Adelaide,Gold Coast -26.5,Gold Coast Suns,-26.5,1.9,50.0,loss,4,3,2,2,1,0,33.4% Cover Rate — Home; 7.2% Short Rest (≤ 6 days); 11.2% May; 75.0% TIO Stadium; 21.0% As Favourite (line < 0),1.6% Day Games (kick-off < 18:00); 14.2% Thursday / Friday Games; 21.8% After a Win
347,2026-05-16,Melbourne vs Hawthorn,Hawthorn -18.5,Hawthorn Hawks,-18.5,1.91,50.0,loss,5,4,2,1,0,0,7.6% Cover Rate — Away; 22.2% Day Games (kick-off < 18:00); 25.0% Saturday Games; 8.4% After a Loss; 17.6% May; 33.4% vs Melbourne; 7.6% MCG; 39.4% As Favourite (line < 0),11.2% New Moon (±1 day)
348,2026-05-16,Adelaide vs North Melbourne,Adelaide -18.5,Adelaide Crows,-18.5,1.9,50.0,win,2,0,0,2,1,1,2.0% Cover Rate — Home; 16.0% Saturday Games; 17.6% May,14.2% Night Games (kick-off ≥ 18:00); 2.2% After a Win; 42.8% New Moon (±1 day); 3.8% Adelaide Oval; 4.6% As Favourite (line < 0)
354,2026-05-21,Hawthorn vs Adelaide Crows,Hawthorn -15.5,Hawthorn Hawks,-15.5,1.9,25.0,loss,7,6,4,0,0,0,22.8% Cover Rate — Home; 22.2% Day Games (kick-off < 18:00); 6.6% Thursday / Friday Games; 42.8% Short Rest (≤ 6 days); 8.4% After a Loss; 17.6% May; 42.8% vs Adelaide; 62.4% UTAS Stadium; 39.4% As Favourite (line < 0),
355,2026-05-21,Hawthorn vs Adelaide Crows,Adelaide +19.5,Adelaide Crows,19.5,1.89,25.0,win,4,1,0,2,2,1,13.6% Cover Rate — Away; 20.6% Day Games (kick-off < 18:00); 17.6% May; 18.4% As Underdog  (line > 0),25.0% Thursday / Friday Games; 2.2% After a Win; 42.8% vs Hawthorn
360,2026-05-23,Geelong Cats vs Sydney Swans,Swans +10.5,Sydney Swans,10.5,1.9,25.0,loss,2,0,0,2,0,0,8.0% Cover Rate — Away; 4.4% Saturday Games; 13.4% After a Win; 13.4% As Underdog  (line > 0),10.8% Day Games (kick-off < 18:00); 11.2% May
369,2026-05-28,St Kilda vs Hawthorn,Hawthorn -19.5,Hawthorn Hawks,-19.5,1.9,25.0,win,5,2,1,0,0,0,7.6% Cover Rate — Away; 22.2% Day Games (kick-off < 18:00); 6.6% Thursday / Friday Games; 19.2% After a Win; 17.6% May; 14.2% Marvel Stadium; 39.4% As Favourite (line < 0),
387,2026-06-05,Hawthorn vs Western Bulldogs,Hawthorn -11.5,Hawthorn Hawks,-11.5,1.9,25.0,loss,6,4,2,0,0,0,22.8% Cover Rate — Home; 22.2% Day Games (kick-off < 18:00); 6.6% Thursday / Friday Games; 19.2% After a Win; 38.4% June; 14.2% vs Western Bulldogs; 7.6% MCG; 39.4% As Favourite (line < 0),
388,2026-06-05,Hawthorn vs Western Bulldogs,Hawthorn -20.5,Hawthorn Hawks,-20.5,1.91,20.0,loss,6,4,2,0,0,0,22.8% Cover Rate — Home; 22.2% Day Games (kick-off < 18:00); 6.6% Thursday / Friday Games; 19.2% After a Win; 38.4% June; 14.2% vs Western Bulldogs; 7.6% MCG; 39.4% As Favourite (line < 0),
389,2026-06-05,Hawthorn vs Western Bulldogs,Hawthorn -20.5,Hawthorn Hawks,-20.5,1.91,25.0,loss,6,4,2,0,0,0,22.8% Cover Rate — Home; 22.2% Day Games (kick-off < 18:00); 6.6% Thursday / Friday Games; 19.2% After a Win; 38.4% June; 14.2% vs Western Bulldogs; 7.6% MCG; 39.4% As Favourite (line < 0),
392,2026-06-06,West Coast Eagles vs Port Adelaide,Port Adelaide -6.5,Port Adelaide Power,-6.5,1.88,30.0,loss,2,2,1,1,0,0,23.0% June; 50.0% Optus Stadium,8.6% Cover Rate — Away; 8.6% Day Games (kick-off < 18:00); 11.6% Saturday Games; 2.4% After a Loss; 6.2% As Favourite (line < 0)
