id,date,match,market,odds,stake,result,support_5,support_10,support_20,support_30,support_40,conflict_5,qualifies_double,support_rows,conflict_rows
284,2026-03-12,Carlton vs Richmond,Under 178.5,1.9,50.0,win,4,0,0,0,0,0,True,1.3% Carlton Blues Total Points — Home; 3.0% Carlton Blues Thursday / Friday Games; 5.2% Carlton Blues After a Loss; 2.2% Carlton Blues March; 5.8% Carlton Blues vs Richmond; 5.5% Carlton Blues MCG; 2.1% Richmond Tigers Thursday / Friday Games; 3.1% Richmond Tigers March; 5.8% Richmond Tigers vs Carlton; 2.3% Richmond Tigers MCG,4.1% Richmond Tigers Total Points — Away; 1.5% Richmond Tigers Day Games (kick-off < 18:00)
285,2026-03-13,Essendon vs Hawthorn,Over 183.5,1.9,50.0,win,3,3,0,0,0,0,True,1.3% Essendon Bombers Total Points — Home; 3.2% Essendon Bombers Day Games (kick-off < 18:00); 10.3% Essendon Bombers March; 10.4% Essendon Bombers vs Hawthorn; 1.1% Essendon Bombers MCG; 10.4% Hawthorn Hawks vs Essendon,4.1% Essendon Bombers Thursday / Friday Games; 1.1% Hawthorn Hawks Thursday / Friday Games; 2.5% Hawthorn Hawks March
289,2026-03-14,Sydney vs Brisbane,Under 190.5,1.95,50.0,win,1,0,0,0,0,0,False,1.5% Brisbane Lions After a Loss; 6.6% Brisbane Lions March,2.1% Sydney Swans Saturday Games; 1.7% Sydney Swans vs Brisbane; 3.5% Brisbane Lions Total Points — Away; 3.2% Brisbane Lions Day Games (kick-off < 18:00); 1.7% Brisbane Lions vs Sydney
290,2026-03-15,Melbourne vs St Kilda,Under 180.5,1.9,50.0,loss,2,0,0,0,0,0,False,2.5% Melbourne Demons vs St Kilda; 2.4% Melbourne Demons MCG; 5.2% St Kilda Saints Total Points — Away; 4.8% St Kilda Saints Day Games (kick-off < 18:00); 3.2% St Kilda Saints Sunday Games; 6.1% St Kilda Saints After a Loss; 2.6% St Kilda Saints March; 2.5% St Kilda Saints vs Melbourne,1.9% Melbourne Demons Day Games (kick-off < 18:00); 3.9% Melbourne Demons Sunday Games; 1.2% St Kilda Saints MCG
297,2026-03-22,West Coast Eagles vs North Melbourne,Under 179.5,1.9,50.0,loss,3,3,0,0,0,1,False,3.6% West Coast Eagles March; 13.0% West Coast Eagles vs North Melbourne; 13.0% North Melbourne Kangaroos vs West Coast; 15.5% North Melbourne Kangaroos Optus Stadium,1.1% West Coast Eagles Total Points — Home; 1.9% West Coast Eagles Day Games (kick-off < 18:00); 1.1% West Coast Eagles After a Loss; 1.4% West Coast Eagles Optus Stadium; 1.2% North Melbourne Kangaroos Total Points — Away; 2.5% North Melbourne Kangaroos Day Games (kick-off < 18:00); 9.3% North Melbourne Kangaroos After a Win; 2.0% North Melbourne Kangaroos March
299,2026-03-26,Geelong vs Adelaide,Under 179.5,1.9,50.0,win,1,0,0,0,0,2,False,5.8% Adelaide Crows Thursday / Friday Games,4.8% Geelong Cats Total Points — Home; 3.5% Geelong Cats Day Games (kick-off < 18:00); 8.4% Geelong Cats Thursday / Friday Games; 4.8% Geelong Cats After a Win; 9.8% Geelong Cats March; 3.9% Geelong Cats vs Adelaide; 1.6% Geelong Cats GMHBA Stadium; 2.9% Adelaide Crows Total Points — Away; 2.7% Adelaide Crows Day Games (kick-off < 18:00); 2.0% Adelaide Crows After a Loss; 1.4% Adelaide Crows March; 3.9% Adelaide Crows vs Geelong
300,2026-03-27,Collingwood vs GWS,Under 179.6,1.9,50.0,win,3,0,0,0,0,0,True,2.2% Collingwood Magpies Total Points — Home; 1.5% Collingwood Magpies Day Games (kick-off < 18:00); 4.0% Collingwood Magpies vs GWS Giants; 2.5% Greater Western Sydney Giants Total Points — Away; 7.9% Greater Western Sydney Giants Thursday / Friday Games; 7.1% Greater Western Sydney Giants Short Rest (≤ 6 days); 4.0% Greater Western Sydney Giants vs Collingwood; 5.1% Greater Western Sydney Giants Marvel Stadium,2.4% Collingwood Magpies March; 1.9% Collingwood Magpies Marvel Stadium; 2.5% Greater Western Sydney Giants After a Loss; 3.9% Greater Western Sydney Giants March
304,2026-04-03,Brisbane vs Collingwood,Over 176.5,1.9,50.0,win,1,0,0,0,0,0,False,3.2% Brisbane Lions Day Games (kick-off < 18:00); 2.3% Brisbane Lions After a Win; 6.2% Brisbane Lions April; 1.2% Brisbane Lions Full Moon (±1 day); 4.4% Brisbane Lions vs Collingwood; 1.9% Collingwood Magpies Short Rest (≤ 6 days); 2.6% Collingwood Magpies Full Moon (±1 day); 4.4% Collingwood Magpies vs Brisbane; 2.9% Collingwood Magpies Gabba,1.7% Brisbane Lions Total Points — Home; 3.3% Brisbane Lions Short Rest (≤ 6 days); 2.2% Brisbane Lions Gabba; 1.5% Collingwood Magpies Day Games (kick-off < 18:00); 1.9% Collingwood Magpies After a Win; 1.4% Collingwood Magpies April
307,2026-04-10,Collingwood vs Fremantle,Under 174.5,1.9,50.0,win,2,2,0,0,0,0,False,2.2% Collingwood Magpies Total Points — Home; 1.5% Collingwood Magpies Day Games (kick-off < 18:00); 1.4% Collingwood Magpies April; 12.2% Collingwood Magpies Adelaide Oval; 10.7% Fremantle Dockers Thursday / Friday Games; 2.8% Fremantle Dockers After a Win; 3.0% Fremantle Dockers Adelaide Oval,1.0% Collingwood Magpies vs Fremantle; 1.0% Fremantle Dockers vs Collingwood
311,2026-04-11,North Melbourne vs Brisbane,Under 192.5,1.9,50.0,win,0,0,0,0,0,5,False,1.1% Brisbane Lions Night Games (kick-off ≥ 18:00),3.5% North Melbourne Kangaroos Total Points — Home; 1.6% North Melbourne Kangaroos Night Games (kick-off ≥ 18:00); 4.0% North Melbourne Kangaroos Saturday Games; 9.3% North Melbourne Kangaroos After a Win; 9.1% North Melbourne Kangaroos April; 5.9% North Melbourne Kangaroos vs Brisbane; 3.5% Brisbane Lions Total Points — Away; 2.3% Brisbane Lions After a Win; 6.2% Brisbane Lions April; 5.9% Brisbane Lions vs North Melbourne
312,2026-04-11,Hawthorn vs Western Bulldogs,Under 182.5,1.9,50.0,win,0,0,0,0,0,3,False,4.7% Hawthorn Hawks vs Western Bulldogs; 4.7% Western Bulldogs vs Hawthorn,1.4% Hawthorn Hawks Saturday Games; 1.0% Hawthorn Hawks After a Win; 1.7% Hawthorn Hawks April; 8.6% Hawthorn Hawks Adelaide Oval; 2.8% Western Bulldogs Total Points — Away; 1.7% Western Bulldogs Saturday Games; 7.3% Western Bulldogs Short Rest (≤ 6 days); 5.4% Western Bulldogs April
315,2026-04-12,GWS vs Richmond,Under 178.5,1.9,50.0,loss,0,0,0,0,0,2,False,2.0% Richmond Tigers After a Loss; 2.7% Richmond Tigers April,3.2% Greater Western Sydney Giants Total Points — Home; 3.9% Greater Western Sydney Giants Sunday Games; 2.5% Greater Western Sydney Giants After a Loss; 9.7% Greater Western Sydney Giants vs Richmond; 4.1% Richmond Tigers Total Points — Away; 1.5% Richmond Tigers Day Games (kick-off < 18:00); 1.9% Richmond Tigers Sunday Games; 9.7% Richmond Tigers vs GWS Giants
34,2026-04-16,GWS vs Sydney,Total Under 170.5,1.9,50.0,loss,2,0,0,0,0,3,False,1.2% Sydney Swans Short Rest (≤ 6 days); 2.5% Greater Western Sydney Giants Total Points — Away; 7.9% Greater Western Sydney Giants Thursday / Friday Games; 7.1% Greater Western Sydney Giants Short Rest (≤ 6 days); 2.1% Greater Western Sydney Giants After a Win,5.0% Sydney Swans April; 3.6% Sydney Swans New Moon (±1 day); 6.9% Sydney Swans vs GWS Giants; 3.4% Greater Western Sydney Giants New Moon (±1 day); 6.9% Greater Western Sydney Giants vs Sydney; 3.4% Greater Western Sydney Giants SCG
36,2026-04-18,Brisbane vs Melbourne,Total Over 168.5,1.9,50.0,loss,2,0,0,0,0,0,False,1.9% Melbourne Demons Day Games (kick-off < 18:00); 3.9% Melbourne Demons Sunday Games; 4.4% Melbourne Demons vs Brisbane; 3.5% Brisbane Lions Total Points — Away; 3.2% Brisbane Lions Day Games (kick-off < 18:00); 2.2% Brisbane Lions Sunday Games; 2.3% Brisbane Lions After a Win; 6.2% Brisbane Lions April; 4.4% Brisbane Lions vs Melbourne; 6.1% Brisbane Lions MCG,3.3% Melbourne Demons After a Loss; 3.6% Melbourne Demons April; 2.4% Melbourne Demons MCG
