id,date,match,market_text,taken_odds,result_page,market,selection,game_date,opening_line,opening_odds,edge_obtained,opening_result,profit_$1_taken,profit_$1_at_open
1,2026-04-15,Collingwood vs Carlton,Game 2.12,2.12,loss,h2h,collingwood,2026-04-16,,1.46,45.205479452054796,win,-1.0,0.45999999999999996
2,2026-04-15,Collingwood vs Carlton,Game 2.6,2.6,win,h2h,carlton,2026-04-16,,2.6,0.0,loss,1.6,-1.0
4,2026-04-17,Geelong vs Western Bulldogs,Geelong -10.5,1.9,win,handicap,geelong,2026-04-17,-11.5,1.9,1.0,win,0.8999999999999999,0.8999999999999999
5,2026-04-17,Port Adelaide vs Hawthorn,Port Adelaide Win,3.0,win,h2h,port adelaide,2026-04-18,,6.0,-50.0,loss,2.0,-1.0
10,2026-04-25,Eagles vs Saints,Game 1.8,1.8,win,h2h,st kilda,2026-04-26,,1.11,62.16216216216215,win,0.8,0.1100000000000001
13,2026-05-01,Western Bulldogs vs Fremantle,Bulldogs Win,3.21,loss,h2h,western bulldogs,2026-05-01,,2.9,10.689655172413804,loss,-1.0,-1.0
14,2026-05-01,Adelaide vs Port Adelaide,Adelaide -9.5,1.89,loss,handicap,adelaide,2026-05-01,-11.5,1.9,2.0,loss,-1.0,-1.0
15,2026-05-02,Carlton vs St Kilda,Carlton Win,2.55,loss,h2h,carlton,2026-05-02,,2.5,2.0000000000000018,loss,-1.0,-1.0
17,2026-05-08,Port Adelaide vs Western Bulldogs,Port Adelaide Win,1.96,loss,h2h,port adelaide,2026-05-08,,1.96,0.0,loss,-1.0,-1.0
18,2026-05-09,Gold Coast vs St Kilda,Gold Coast -17.5,1.89,win,handicap,gold coast,2026-05-09,-15.5,1.9,-2.0,win,0.8899999999999999,0.8999999999999999
19,2026-05-09,Geelong vs Collingwood,Geelong -11.5,1.89,win,handicap,geelong,2026-05-09,-12.5,1.9,1.0,win,0.8899999999999999,0.8999999999999999
22,2026-05-15,Sydney Swans vs Collingwood,Collingwood +35.5,1.91,win,handicap,collingwood,2026-05-15,30.5,1.9,5.0,win,0.9099999999999999,0.8999999999999999
23,2026-05-15,Gold Coast vs Port Adelaide,Gold Coast -26.5,1.9,loss,handicap,gold coast,2026-05-15,-26.5,1.9,0.0,loss,-1.0,-1.0
24,2026-05-16,Carlton vs Western Bulldogs,Carlton Win,2.56,win,h2h,carlton,2026-05-16,,2.7,-5.185185185185192,win,1.56,1.7000000000000002
25,2026-05-16,Melbourne vs Hawthorn,Hawthorn -18.5,1.91,loss,handicap,hawthorn,2026-05-16,-20.5,1.9,2.0,loss,-1.0,-1.0
26,2026-05-16,Adelaide vs North Melbourne,Adelaide -18.5,1.9,win,handicap,adelaide,2026-05-16,-18.5,1.9,0.0,win,0.8999999999999999,0.8999999999999999
27,2026-05-21,Hawthorn vs Adelaide Crows,Hawthorn Win,1.41,win,h2h,hawthorn,2026-05-21,,1.36,3.676470588235281,win,0.4099999999999999,0.3600000000000001
28,2026-05-21,Hawthorn vs Adelaide Crows,Adelaide Crows Win,2.88,loss,h2h,adelaide,2026-05-21,,3.1,-7.096774193548394,loss,-1.0,-1.0
29,2026-05-21,Hawthorn vs Adelaide Crows,Hawthorn -15.5,1.9,loss,handicap,hawthorn,2026-05-21,-16.5,1.9,1.0,loss,-1.0,-1.0
30,2026-05-21,Hawthorn vs Adelaide Crows,Adelaide +19.5,1.89,win,handicap,adelaide,2026-05-21,16.5,1.9,3.0,win,0.8899999999999999,0.8999999999999999
32,2026-05-23,Geelong Cats vs Sydney Swans,Swans +10.5,1.9,loss,handicap,sydney,2026-05-23,10.5,1.9,0.0,loss,-1.0,-1.0
34,2026-05-28,St Kilda vs Hawthorn,Hawthorn -19.5,1.9,win,handicap,hawthorn,2026-05-28,-12.5,1.9,-7.0,win,0.8999999999999999,0.8999999999999999
36,2026-05-30,Western Bulldogs vs Collingwood,Collingwood Win,2.26,loss,h2h,collingwood,2026-05-30,,1.98,14.14141414141412,loss,-1.0,-1.0
38,2026-05-31,West Coast Eagles vs Essendon,Essendon Win,2.39,loss,h2h,essendon,2026-05-31,,2.55,-6.274509803921557,loss,-1.0,-1.0
39,2026-06-05,Hawthorn vs Western Bulldogs,Hawthorn -11.5,1.9,loss,handicap,hawthorn,2026-06-05,-22.5,1.9,11.0,loss,-1.0,-1.0
40,2026-06-05,Hawthorn vs Western Bulldogs,Hawthorn -20.5,1.91,loss,handicap,hawthorn,2026-06-05,-22.5,1.9,2.0,loss,-1.0,-1.0
41,2026-06-05,Hawthorn vs Western Bulldogs,Hawthorn -20.5,1.91,loss,handicap,hawthorn,2026-06-05,-22.5,1.9,2.0,loss,-1.0,-1.0
43,2026-06-06,West Coast Eagles vs Port Adelaide,Port Adelaide -6.5,1.88,loss,handicap,port adelaide,2026-06-06,-10.5,1.9,4.0,loss,-1.0,-1.0
44,2026-06-06,West Coast Eagles vs Port Adelaide,Port Adelaide -7.5,1.9,loss,handicap,port adelaide,2026-06-06,-10.5,1.9,3.0,loss,-1.0,-1.0
45,2026-06-07,Sydney Swans vs St Kilda,Sydney -29.5,1.89,loss,handicap,sydney,2026-06-07,-28.5,1.9,-1.0,loss,-1.0,-1.0
48,2026-06-08,Collingwood vs Melbourne,Collingwood Win,1.9,loss,h2h,collingwood,2026-06-08,,2.0,-5.000000000000004,loss,-1.0,-1.0
49,2026-06-08,Collingwood vs Melbourne,Collingwood Win,1.9,loss,h2h,collingwood,2026-06-08,,2.0,-5.000000000000004,loss,-1.0,-1.0
50,2026-06-11,Western Bulldogs vs Adelaide Crows,Adelaide Crows Win,2.1,win,h2h,adelaide,2026-06-11,,2.0,5.000000000000004,win,1.1,1.0
51,2026-06-11,Western Bulldogs vs Adelaide Crows,Adelaide Crows Win,2.07,win,h2h,adelaide,2026-06-11,,2.0,3.499999999999992,win,1.0699999999999998,1.0
54,2026-06-14,St Kilda Saints vs GWS Giants,GWS Win,2.1,loss,h2h,gws,2026-06-14,,1.78,17.97752808988764,loss,-1.0,-1.0
55,2026-06-14,St Kilda Saints vs GWS Giants,GWS Win,2.08,loss,h2h,gws,2026-06-14,,1.78,16.85393258426966,loss,-1.0,-1.0
59,2026-06-19,Gold Coast Suns vs Hawthorn Hawks,Hawthorn Win,1.77,win,h2h,hawthorn,2026-06-19,,1.73,2.3121387283236983,win,0.77,0.73
61,2026-06-20,Collingwood Magpies vs Port Adelaide Power,Collingwood -13.5,1.9,win,handicap,collingwood,2026-06-20,-14.5,1.9,1.0,win,0.8999999999999999,0.8999999999999999
62,2026-06-21,Richmond Tigers vs North Melbourne Kangaroos,NM -17.5,1.89,win,handicap,north melbourne,2026-06-21,-17.5,1.9,0.0,win,0.8899999999999999,0.8999999999999999
64,2026-06-26,Hawthorn Hawks vs GWS Giants,Hawthorn -19.5,1.9,loss,handicap,hawthorn,2026-06-26,-21.5,1.9,2.0,loss,-1.0,-1.0
65,2026-06-27,Carlton Blues vs West Coast Eagles,Carlton -32.5,1.9,win,handicap,carlton,2026-06-27,-31.5,1.9,-1.0,win,0.8999999999999999,0.8999999999999999
67,2026-06-28,North Melbourne Kangaroos vs Essendon Bombers,North Melbourne -15.5,1.9,loss,handicap,north melbourne,2026-06-28,-14.5,1.9,-1.0,loss,-1.0,-1.0
