league,week,date,home,away,source,score,actual_1x2,actual_goals,model_rps,opening_market_rps,closing_market_rps,model_1x2_log_loss,opening_1x2_log_loss,closing_1x2_log_loss,model_1x2_pick_correct,opening_market_pick_correct,closing_market_pick_correct,model_ou_brier,opening_ou_brier,closing_ou_brier,model_ou_log_loss,opening_ou_log_loss,closing_ou_log_loss,model_ou_pick_correct,opening_ou_pick_correct,closing_ou_pick_correct
EFL Championship,1,2026-08-14,Wolves,Blackburn,gw1_clv_backtest frozen probabilities,2-2,D,4,0.143289,0.2014528861972097,0.2122013672111584,1.2729656758128873,1.4764083000856278,1.5133802599945028,0,0,0,0.30360099999999995,0.2368097457748292,0.23808120521242873,0.8007323912398827,0.6667604253867505,0.6693049915971857,0,1,1
EFL Championship,1,2026-08-15,Bolton,Preston,gw1_clv_backtest frozen probabilities,2-1,H,3,0.18881649999999997,0.20592658736394157,0.22722757164081597,0.8051966843685682,0.8467668434376631,0.9107074292857087,1,1,1,0.30360099999999995,0.2648817777777777,0.27878400000000003,0.8007323912398827,0.7229193388936153,0.7507762933965816,0,0,0
EFL Championship,1,2026-08-15,Bristol City,Millwall,gw1_clv_backtest frozen probabilities,0-2,A,2,0.22571600000000006,0.2722483203150974,0.28620842229830573,0.9014021193804044,1.0281395533337037,1.0661159044065953,1,0,0,0.201601,0.23941919986273552,0.24468100317424013,0.5960204698292226,0.671982369367902,0.6825087823548898,1,1,1
EFL Championship,1,2026-08-15,Charlton,Derby,gw1_clv_backtest frozen probabilities,2-1,H,3,0.287605,0.27126736111111116,0.26683112406186643,1.0996127890016931,1.037987666851675,1.0345354039231445,0,1,1,0.30360099999999995,0.31289116617121854,0.3372463650173612,0.8007323912398827,0.8195423926656713,0.8692381876032639,0,0,0
EFL Championship,1,2026-08-15,Middlesbrough,Lincoln,gw1_clv_backtest frozen probabilities,2-1,H,3,0.14310499999999998,0.047307421557902574,0.07872872185924022,0.6713856887784326,0.34107958759497303,0.4577913107986803,1,1,1,0.30360099999999995,0.18431512294070887,0.21547326724313823,0.8007323912398827,0.5609255458174862,0.6239774900468059,0,1,1
EFL Championship,1,2026-08-15,Norwich,West Brom,gw1_clv_backtest frozen probabilities,1-2,A,3,0.32801,0.39800556968833845,0.394332437501504,1.2106617924767327,1.3873827837245618,1.3734134171403263,0,0,0,0.30360099999999995,0.2554052491617528,0.24733335239783807,0.8007323912398827,0.703958096664161,0.6878138345845827,0,0,1
EFL Championship,1,2026-08-15,Portsmouth,QPR,gw1_clv_backtest frozen probabilities,1-3,A,4,0.38761999999999996,0.32290555319093683,0.3233668726771878,1.3547956940605197,1.1710560659440563,1.1919618582730478,0,0,0,0.27457600000000004,0.2663001515628127,0.3256763794852116,0.7423374247507171,0.725758766148706,0.8455541807823769,0,0,0
EFL Championship,1,2026-08-15,Stoke,Swansea,gw1_clv_backtest frozen probabilities,1-2,A,3,0.2669665,0.30575336921739904,0.3242580628851268,1.0133524447172864,1.1302617008603066,1.176425993538536,1,0,0,0.27457600000000004,0.30147964173391784,0.2635477136892676,0.7423374247507171,0.796446750397749,0.7202491103377364,0,0,0
EFL Championship,1,2026-08-15,Sheffield United,Birmingham,gw1_clv_backtest frozen probabilities,0-0,D,0,0.191633,0.128395562172992,0.13383724210666834,1.4524341636244356,1.254915265826589,1.2653898390711174,0,0,0,0.22657599999999997,0.22651491320884212,0.21547326724313828,0.6462635946610948,0.6461411381840148,0.6239774900468061,1,1,1
EFL Championship,1,2026-08-16,Watford,Southampton,gw1_clv_backtest frozen probabilities,2-1,H,3,0.3230599999999999,0.35747906562022036,0.38807514429335976,1.1208578976154293,1.258861225198417,1.3403397514177102,0,0,0,0.156816,0.20464852607709755,0.19883598693966203,0.5041810810473222,0.6021754023542187,0.5904286743649576,1,1,1
EFL Championship,1,2026-08-16,Burnley,West Ham,gw1_clv_backtest frozen probabilities,2-2,D,4,0.14456449999999998,0.13754814898471726,0.13638578893613157,1.2982834837971773,1.3340836831360428,1.310991686001433,0,0,0,0.30360099999999995,0.2009512485136742,0.21301775147928997,0.8007323912398827,0.5947071077466928,0.6190392084062235,0,1,1
EFL Championship,1,2026-08-17,Cardiff,Wrexham,gw1_clv_backtest frozen probabilities,1-1,D,2,0.13537849999999998,0.13598544882624125,0.13454237401772617,1.3205066205818874,1.323535055979377,1.3202419332072588,0,0,0,0.22657599999999997,0.2972569601629697,0.32140864281728565,0.6462635946610948,0.7879255868872347,0.8368539012261204,1,0,0
