league,match,score,result,total_goals,over25,m_h,m_d,m_a,c_h,c_d,c_a,m_over,c_over,rps_model,rps_open,rps_close,ll_model,ll_close,br_model,br_close,ou_ll_model,ou_ll_close,ou_br_model,ou_br_close,model_beat_close_1x2,model_beat_close_ou
EPL,Ipswich v Liverpool,0-2,A,2,False,0.2242,0.2179,0.5579,0.1953,0.2187,0.586,0.6735,0.6472,0.1229,0.0832,0.1048,0.5835,0.5345,0.2932,0.2574,1.1192,1.0419,0.4536,0.4189,False,False
EPL,Newcastle v Bournemouth,2-2,D,4,True,0.4586,0.2286,0.3128,0.4463,0.2599,0.2938,0.7778,0.5949,0.1541,0.1434,0.1427,1.4758,1.3474,0.9033,0.8332,0.2513,0.5194,0.0494,0.1641,False,True
EPL,Brentford v Sunderland,1-1,D,2,False,0.495,0.2582,0.2467,0.5622,0.2447,0.1931,0.5584,0.5239,0.153,0.1845,0.1767,1.3539,1.4078,0.8562,0.9239,0.8174,0.7422,0.3119,0.2745,True,False
EPL,Brighton v Leeds,1-1,D,2,False,0.4816,0.2579,0.2605,0.4867,0.2601,0.2531,0.5584,0.5332,0.1499,0.1461,0.1505,1.355,1.3466,0.8504,0.8484,0.8174,0.7618,0.3119,0.2843,True,False
EPL,Fulham v Crystal Palace,2-3,A,5,True,0.4655,0.263,0.2715,0.4382,0.2792,0.2826,0.5584,0.5106,0.3737,0.3197,0.3534,1.3037,1.2639,0.8165,0.7847,0.5826,0.6721,0.195,0.2395,False,True
EPL,Man City v Coventry,1-0,H,1,False,0.7993,0.1292,0.0714,0.7952,0.1318,0.073,0.6735,0.6813,0.0227,0.0208,0.0236,0.224,0.2292,0.0621,0.0646,1.1192,1.1435,0.4536,0.4642,True,True
EPL,Nott'm Forest v Tottenham,0-0,D,0,False,0.4199,0.267,0.3131,0.3581,0.2797,0.3622,0.522,0.5106,0.1372,0.1307,0.1297,1.3204,1.2741,0.8116,0.7783,0.7381,0.7147,0.2725,0.2608,False,False
EPL,Hull v Aston Villa,0-0,D,0,False,0.3173,0.2625,0.4202,0.24,0.2621,0.4979,0.5584,0.5213,0.1386,0.1555,0.1527,1.3375,1.339,0.8212,0.85,0.8174,0.7366,0.3119,0.2717,True,False
EPL,Everton v Man United,2-2,D,4,True,0.4349,0.2464,0.3187,0.2586,0.2471,0.4942,0.6735,0.5985,0.1453,0.1407,0.1556,1.4007,1.3979,0.8586,0.878,0.3953,0.5134,0.1066,0.1612,True,True
EPL,Arsenal v Chelsea,2-1,H,3,True,0.5853,0.2161,0.1987,0.5555,0.2453,0.1992,0.6735,0.5476,0.1057,0.1172,0.1186,0.5357,0.5879,0.2582,0.2974,0.3953,0.6022,0.1066,0.2046,True,True
EFL,Lincoln v Southampton,1-1,D,2,False,0.2729,0.2482,0.4789,0.2289,0.2394,0.5316,0.5591,0.5707,0.1519,0.164,0.1675,1.3936,1.4295,0.8691,0.9135,0.819,0.8456,0.3126,0.3257,True,True
EFL,Preston v Blackburn,2-1,H,3,True,0.3543,0.2981,0.3476,0.4066,0.2804,0.3131,0.4495,0.4987,0.2689,0.2336,0.2251,1.0376,0.9,0.6266,0.5288,0.7996,0.6958,0.3031,0.2513,False,False
EFL,Stoke v Charlton,4-0,H,4,True,0.3772,0.3121,0.3107,0.4695,0.2872,0.2433,0.3548,0.4293,0.2422,0.1901,0.1703,0.975,0.756,0.5818,0.423,1.0361,0.8456,0.4162,0.3257,False,False
EFL,Burnley v Bristol City,1-2,A,3,True,0.4225,0.2874,0.2901,0.4813,0.2629,0.2558,0.4495,0.5187,0.3413,0.4157,0.3928,1.2377,1.3636,0.7651,0.8547,0.7996,0.6564,0.3031,0.2316,True,False
EFL,Millwall v Bolton,4-0,H,4,True,0.433,0.3068,0.2602,0.4796,0.2717,0.2487,0.3548,0.5067,0.1946,0.1515,0.1663,0.837,0.7348,0.4833,0.4065,1.0361,0.6798,0.4162,0.2433,False,False
EFL,Portsmouth v Cardiff,2-0,H,2,False,0.3783,0.2955,0.3262,0.3908,0.2668,0.3425,0.4495,0.5681,0.2464,0.2371,0.2442,0.972,0.9396,0.5802,0.5596,0.5969,0.8395,0.202,0.3227,False,True
EFL,QPR v Middlesbrough,0-1,A,1,False,0.3109,0.2677,0.4215,0.3247,0.2636,0.4116,0.4756,0.5669,0.2157,0.2054,0.2258,0.864,0.8876,0.503,0.5211,0.6455,0.8369,0.2262,0.3214,True,True
EFL,Sheffield United v Norwich,1-3,A,4,True,0.5073,0.2664,0.2263,0.3669,0.2691,0.364,0.4756,0.5567,0.4279,0.2762,0.2695,1.4857,1.0105,0.9268,0.6115,0.7432,0.5857,0.275,0.1965,False,False
