sport,date,home,away,model_side_at_open,model_side_probability,open_side_odds,close_side_odds,open_no_vig_probability,close_no_vig_probability,model_edge_open_pp,model_edge_close_pp,model_ev_open_pct,model_ev_close_pct,price_clv_open_to_close_pct,model_side_won,flat_1u_pnl_at_open,model_home_margin,market_implied_home_margin_open,market_implied_home_margin_close,home_line_edge_open,home_line_edge_close,model_total,total_open,total_close,total_edge_open,total_edge_close,home_score,away_score,model_source
AFL,2026-08-29,Melbourne,Carlton,Carlton,0.531,2.05,1.9,0.46194225721784776,0.5,6.905774278215226,3.1000000000000028,8.85499999999999,0.8899999999999908,7.8947368421052655,True,1.0499999999999998,2.6,-1.5,-1.5,4.1,4.1,181.6,173.5,179.5,8.099999999999994,2.0999999999999943,55,74,"Wildcard production report (rules line/total, blended H2H)"
AFL,2026-08-29,Western Bulldogs,Collingwood,Western Bulldogs,0.501,1.95,1.8,0.48275862068965525,0.5263157894736842,1.8241379310344752,-2.531578947368418,-2.3050000000000015,-9.819999999999995,8.333333333333325,True,0.95,-3.4,-1.5,2.5,-1.9,-5.9,166.6,169.5,168.5,-2.9000000000000057,-1.9000000000000057,96,93,"Wildcard production report (rules line/total, blended H2H)"
NRL,2026-08-27,Brisbane Broncos,Melbourne Storm,Melbourne Storm,0.700280112044818,1.97,1.54,0.4788359788359788,0.6188118811881189,22.14441332088392,8.146823085669908,37.95518207282915,7.843137254901977,27.922077922077925,True,0.97,-6.31,1.5,-4.5,-7.81,-1.8099999999999996,44.71,49.5,50.5,-4.789999999999999,-5.789999999999999,20,46,R27 internal / official R26
NRL,2026-08-28,Manly Sea Eagles,St George Dragons,Manly Sea Eagles,0.8496176720475785,1.4,1.33,0.6781609195402298,0.7158119658119658,17.14567525073487,13.380570623561272,18.94647408666099,12.99915038232795,5.263157894736836,True,0.3999999999999999,12.36,7.5,9.5,4.859999999999999,2.8599999999999994,43.04,48.5,49.5,-5.460000000000001,-6.460000000000001,44,10,R27 internal / official R26
NRL,2026-08-28,Penrith Panthers,Canterbury Bulldogs,Penrith Panthers,0.8658008658008658,1.37,1.34,0.6935123042505593,0.7112068965517242,17.22885615503065,15.45939692491416,18.61471861471862,16.01731601731602,2.238805970149249,True,0.3700000000000001,13.26,8.5,9.5,4.76,3.76,39.75,40.5,40.5,-0.75,-0.75,24,10,R27 internal / official R26
NRL,2026-08-29,Gold Coast Titans,South Sydney Rabbitohs,South Sydney Rabbitohs,0.7930214115781127,1.4,1.25,0.6744186046511629,0.7619047619047619,11.86028069269498,3.1116649673350816,11.02299762093577,-0.8723235527359208,11.99999999999999,True,0.3999999999999999,-9.72,-7.5,-11.5,-2.2200000000000006,1.7799999999999994,47.19,53.5,55.5,-6.310000000000002,-8.310000000000002,22,42,R27 internal / official R26
NRL,2026-08-29,North QLD Cowboys,Wests Tigers,North QLD Cowboys,0.8453085376162299,1.25,1.26,0.7619047619047619,0.755813953488372,8.340377571146806,8.949458412785793,5.663567202028741,6.5088757396449815,-0.7936507936507908,True,0.25,12.16,12.5,13.5,-0.33999999999999986,-1.3399999999999999,50.57,52.5,55.5,-1.9299999999999997,-4.93,24,10,R27 internal / official R26
NRL,2026-08-29,Sydney Roosters,Dolphins,Sydney Roosters,0.6430868167202572,1.55,1.57,0.6125,0.6045340050377834,3.0586816720257204,3.855281168247382,-0.3215434083601254,0.9646302250803984,-1.273885350318471,False,-1.0,4.46,5.5,4.5,-1.04,-0.040000000000000036,44.78,47.5,48.5,-2.719999999999999,-3.719999999999999,12,26,R27 internal / official R26
NRL,2026-08-30,New Zealand Warriors,Newcastle Knights,New Zealand Warriors,0.9182736455463728,1.37,1.42,0.6864988558352403,0.6712962962962963,23.177478971113253,24.69773492500765,25.803489439853088,30.39485766758494,-3.5211267605633645,True,0.3700000000000001,16.62,7.5,7.5,9.120000000000001,9.120000000000001,43.1,48.5,47.5,-5.399999999999999,-4.399999999999999,46,32,R27 internal / official R26
NRL,2026-08-30,Parramatta Eels,Cronulla Sharks,Cronulla Sharks,0.8396305625524769,1.46,1.37,0.6447688564476886,0.6935123042505593,19.486170610478837,14.61182583019176,22.58606213266163,15.02938706968935,6.5693430656934115,False,-1.0,-11.9,-6.5,-8.5,-5.4,-3.4000000000000004,45.18,52.5,54.5,-7.32,-9.32,38,18,R27 internal / official R26
