id,date,match,market_text,taken_odds,result_page,market,selection,game_date,opening_line,opening_odds,edge_obtained,opening_result,profit_$1_taken,profit_$1_at_open
1,2026-03-19,Canberra Raiders vs Canterbury Bulldogs,Canberra -1.5,1.9,loss,handicap,raiders,2026-03-19,-1.5,1.95,0.0,loss,-1.0,-1.0
2,2026-03-21,Parramatta vs St George,Parramatta Win,1.5,win,h2h,eels,2026-03-22,,1.44,4.166666666666674,win,0.5,0.43999999999999995
5,2026-03-22,Cowboys vs Titans,Cowboys +3.5,1.9,win,handicap,cowboys,2026-03-22,-5.5,1.9,9.0,win,0.8999999999999999,0.8999999999999999
6,2026-03-21,Newcastle vs Warriors,Warriors Win,1.5,win,h2h,warriors,2026-03-21,,1.48,1.3513513513513598,win,0.5,0.48
8,2026-03-26,Manly vs Roosters,Manly Win,2.85,loss,h2h,manly,2026-03-26,,2.9,-1.724137931034475,loss,-1.0,-1.0
9,2026-03-27,Broncos vs Dolphins,Dolphins +6.5,2.0,loss,handicap,dolphins,2026-03-27,6.5,1.9,0.0,loss,-1.0,-1.0
10,2026-03-28,Raiders vs Cronulla,Raiders -1.5,2.0,loss,handicap,raiders,2026-03-29,-1.5,1.95,0.0,loss,-1.0,-1.0
11,2026-04-04,St George vs Cowboys,St George Win,2.05,loss,h2h,dragons,2026-04-04,,2.0,2.499999999999991,loss,-1.0,-1.0
12,2026-04-04,Newcastle vs Canberra,Newcastle Win,2.4,win,h2h,knights,2026-04-05,,2.25,6.666666666666665,win,1.4,1.25
13,2026-04-05,Sharks vs Warriors,Warriors Win,2.36,loss,h2h,warriors,2026-04-05,,2.3,2.60869565217392,loss,-1.0,-1.0
14,2026-04-04,Broncos vs Cowboys,Broncos Win,1.9,loss,h2h,broncos,2026-04-10,,1.8,5.555555555555558,loss,-1.0,-1.0
15,2026-04-05,Melbourne vs Warriors,Melbourne Win,1.5,loss,h2h,storm,2026-04-11,,1.37,9.48905109489051,loss,-1.0,-1.0
16,2026-04-06,Sharks vs Roosters,Sharks Win,2.05,loss,h2h,sharks,2026-04-11,,2.0,2.499999999999991,loss,-1.0,-1.0
18,2026-04-10,Parramatta vs Gold Coast,Parramatta Win,1.8,loss,h2h,eels,2026-04-12,,1.55,16.129032258064523,loss,-1.0,-1.0
21,2026-04-16,Parramatta vs Canterbury (+13.5),Parramatta +13.5,1.9,win,handicap,eels,2026-04-19,4.0,2.1,9.5,win,0.8999999999999999,1.1
23,2026-04-16,Wests Tigers vs Brisbane,Brisbane Win,2.5,win,h2h,broncos,2026-04-18,,2.3,8.69565217391306,win,1.5,1.2999999999999998
24,2026-04-24,Wests Tigers vs Canberra,Canberra Win,2.0,loss,h2h,raiders,2026-04-23,,2.4,-16.666666666666664,loss,-1.0,-1.0
28,2026-05-15,Rabbitohs vs Dolphins,Dolphins Win,1.85,win,h2h,dolphins,2026-05-15,,2.15,-13.953488372093014,win,0.8500000000000001,1.15
29,2026-05-16,Roosters vs Cowboys,Cowboys +16.5,1.74,win,handicap,cowboys,2026-05-16,13.5,2.0,3.0,win,0.74,1.0
30,2026-05-17,Warriors vs Broncos,Warriors -2.5,1.91,win,handicap,warriors,2026-05-17,-2.5,1.95,0.0,win,0.9099999999999999,0.95
32,2026-05-22,Canterbury Bulldogs vs Melbourne Storm,Bulldogs -3.5,1.9,win,handicap,bulldogs,2026-05-22,-1.5,1.85,-2.0,win,0.8999999999999999,0.8500000000000001
33,2026-05-24,Cowboys vs South Sydney Rabbitohs,Cowboys Win,1.67,win,h2h,cowboys,2026-05-24,,1.8,-7.22222222222223,win,0.6699999999999999,0.8
34,2026-05-24,Cowboys vs South Sydney Rabbitohs,Cowboys -2.5,1.9,win,handicap,cowboys,2026-05-24,-2.5,1.9,0.0,win,0.8999999999999999,0.8999999999999999
35,2026-05-29,Cronulla Sharks vs Manly Sea Eagles,Cronulla Win,1.87,win,h2h,sharks,2026-05-29,,1.67,11.976047904191622,win,0.8700000000000001,0.6699999999999999
38,2026-05-31,Penrith Panthers vs NZ Warriors,Panthers -3.5,1.83,loss,handicap,panthers,2026-05-31,-7.5,1.9,4.0,loss,-1.0,-1.0
