sport,round,date,home_team,away_team,model_margin,market_margin,margin_edge_model_minus_close,actual_margin,model_margin_abs_error,market_margin_abs_error,model_handicap_side,actual_handicap_side,model_handicap_correct,model_total,close_total,total_edge_model_minus_close,actual_total,model_total_abs_error,market_total_abs_error,model_total_side,actual_total_side,model_total_correct,model_home_odds,model_away_odds,close_home_odds,close_away_odds,model_favourite,market_favourite,actual_winner,model_h2h_correct,market_h2h_correct
NRL,24,2026-08-06,Gold Coast Titans,North Queensland Cowboys,-3.1,-4.5,1.4,-22.0,18.9,17.5,home,away,False,49.7,48.5,1.2,38.0,11.7,10.5,home,away,False,2.512,1.661,2.45,1.55,away,away,away,True,True
NRL,24,2026-08-07,New Zealand Warriors,Penrith Panthers,2.2,-3.5,5.7,16.0,13.8,19.5,home,home,True,38.5,40.5,-2.0,40.0,1.5,0.5,away,away,True,1.746,2.34,2.25,1.65,home,away,home,True,False
NRL,24,2026-08-07,Sydney Roosters,Canterbury-Bankstown Bulldogs,10.8,5.5,5.3,2.0,8.8,3.5,home,away,False,44.7,44.5,0.2,38.0,6.7,6.5,home,away,False,1.222,5.499,1.47,2.7,home,home,home,True,True
NRL,24,2026-08-08,Melbourne Storm,Manly-Warringah Sea Eagles,0.9,-2.5,3.4,22.0,21.1,24.5,home,home,True,41.9,44.5,-2.6,62.0,20.1,17.5,away,home,False,1.887,2.127,2.15,1.7,home,away,home,True,False
NRL,24,2026-08-08,Dolphins,Brisbane Broncos,8.5,8.5,0.0,8.0,0.5,0.5,home,away,False,50.1,48.5,1.6,72.0,21.9,23.5,home,home,True,1.315,4.178,1.38,3.1,home,home,home,True,True
NRL,24,2026-08-08,South Sydney Rabbitohs,Parramatta Eels,13.9,9.5,4.4,4.0,9.9,5.5,home,away,False,52.8,46.5,6.3,52.0,0.8,5.5,home,home,True,1.141,8.106,1.33,3.3,home,home,home,True,True
NRL,24,2026-08-09,Canberra Raiders,Newcastle Knights,5.2,3.5,1.7,-6.0,11.2,9.5,home,away,False,52.9,43.5,9.4,54.0,1.1,10.5,home,home,True,1.491,3.036,1.6,2.35,home,home,away,False,False
NRL,24,2026-08-09,St. George Illawarra Dragons,Cronulla-Sutherland Sharks,-20.8,-17.5,-3.3,8.0,28.8,25.5,away,home,False,47.2,48.5,-1.3,40.0,7.2,8.5,away,away,True,24.086,1.043,6.0,1.13,away,away,home,False,False
AFL,22,2026-08-06,Western Bulldogs,North Melbourne Kangaroos,25.1,15.5,9.6,-23.0,48.1,38.5,home,away,False,152.4,172.5,-20.1,177.0,24.6,4.5,away,home,False,1.26,3.91,1.43,2.85,home,home,away,False,False
AFL,22,2026-08-07,Brisbane Lions,Hawthorn Hawks,25.2,1.5,23.7,67.0,41.8,65.5,home,home,True,198.4,189.5,8.9,183.0,15.4,6.5,home,away,False,1.26,3.93,1.8,2.0,home,home,home,True,True
AFL,22,2026-08-08,Melbourne Demons,Fremantle Dockers,-14.5,-11.5,-3.0,4.0,18.5,15.5,away,home,False,185.6,177.5,8.1,222.0,36.4,44.5,home,home,True,2.77,1.45,2.45,1.55,away,away,home,False,False
AFL,22,2026-08-08,Sydney Swans,Port Adelaide Power,45.7,45.5,0.2,97.0,51.3,51.5,home,home,True,165.5,176.5,-11.0,237.0,71.5,60.5,away,home,False,1.06,9.31,1.06,9.0,home,home,home,True,True
AFL,22,2026-08-08,Geelong Cats,Essendon Bombers,51.5,64.5,-13.0,67.0,15.5,2.5,away,home,False,155.4,181.5,-26.1,167.0,11.6,14.5,away,away,True,1.03,12.47,1.01,17.0,home,home,home,True,True
AFL,22,2026-08-08,Adelaide Crows,Richmond Tigers,54.9,57.5,-2.6,9.0,45.9,48.5,away,away,True,162.4,160.5,1.9,117.0,45.4,43.5,home,away,False,1.02,14.95,1.02,14.0,home,home,home,True,True
AFL,22,2026-08-09,Greater Western Sydney Giants,Gold Coast Suns,13.3,13.5,-0.2,-2.0,15.3,15.5,away,away,True,156.6,138.5,18.1,156.0,0.6,17.5,home,home,True,1.48,2.68,1.4,3.0,home,home,away,False,False
AFL,22,2026-08-09,West Coast Eagles,Collingwood Magpies,-24.0,-7.5,-16.5,-19.0,5.0,11.5,away,away,True,155.5,169.5,-14.0,215.0,59.5,45.5,away,home,False,3.77,1.28,2.3,1.62,away,away,away,True,True
AFL,22,2026-08-09,St Kilda Saints,Carlton Blues,9.5,-1.5,11.0,-44.0,53.5,42.5,home,away,False,176.4,176.5,-0.1,168.0,8.4,8.5,away,away,True,1.57,2.41,1.95,1.85,home,away,away,False,True
