track,distance_band,barrier,starts,wins,win_pct,visual_prior_pct,visual_prior_effective_n,visual_weight,blended_win_pct
caulfield,middle_1800_2400m,1,98,6,6.122,,0,0.0,6.122
caulfield,middle_1800_2400m,2,98,13,13.265,,0,0.0,13.265
caulfield,middle_1800_2400m,3,98,14,14.286,16.7,20,0.1695,14.695
caulfield,middle_1800_2400m,4,98,8,8.163,,0,0.0,8.163
caulfield,middle_1800_2400m,5,97,10,10.309,15.4,20,0.1709,11.179
caulfield,middle_1800_2400m,6,95,7,7.368,12.0,20,0.1739,8.174
caulfield,middle_1800_2400m,7,93,11,11.828,,0,0.0,11.828
caulfield,middle_1800_2400m,8,84,8,9.524,,0,0.0,9.524
caulfield,middle_1800_2400m,9,71,3,4.225,,0,0.0,4.225
caulfield,middle_1800_2400m,10,63,8,12.698,,0,0.0,12.698
caulfield,middle_1800_2400m,11,51,3,5.882,,0,0.0,5.882
caulfield,middle_1800_2400m,12,42,2,4.762,,0,0.0,4.762
caulfield,middle_1800_2400m,13,32,1,3.125,,0,0.0,3.125
caulfield,middle_1800_2400m,14,23,2,8.696,,0,0.0,8.696
caulfield,middle_1800_2400m,15,14,1,7.143,14.3,20,0.5882,11.353
caulfield,middle_1800_2400m,16,8,1,12.5,,0,0.0,12.5
caulfield,middle_1800_2400m,17,3,0,0.0,,0,0.0,0.0
caulfield,middle_1800_2400m,18,3,0,0.0,,0,0.0,0.0
caulfield,mile_1400_1800m,1,115,9,7.826,,0,0.0,7.826
caulfield,mile_1400_1800m,2,115,11,9.565,,0,0.0,9.565
caulfield,mile_1400_1800m,3,115,12,10.435,13.0,20,0.1481,10.815
caulfield,mile_1400_1800m,4,115,7,6.087,,0,0.0,6.087
caulfield,mile_1400_1800m,5,115,13,11.304,,0,0.0,11.304
caulfield,mile_1400_1800m,6,113,13,11.504,16.7,20,0.1504,12.286
caulfield,mile_1400_1800m,7,110,12,10.909,,0,0.0,10.909
caulfield,mile_1400_1800m,8,95,4,4.211,,0,0.0,4.211
caulfield,mile_1400_1800m,9,86,9,10.465,,0,0.0,10.465
caulfield,mile_1400_1800m,10,81,12,14.815,,0,0.0,14.815
caulfield,mile_1400_1800m,11,60,5,8.333,,0,0.0,8.333
caulfield,mile_1400_1800m,12,44,3,6.818,,0,0.0,6.818
caulfield,mile_1400_1800m,13,26,2,7.692,18.8,20,0.4348,12.522
caulfield,mile_1400_1800m,14,17,1,5.882,,0,0.0,5.882
caulfield,mile_1400_1800m,15,14,1,7.143,,0,0.0,7.143
caulfield,mile_1400_1800m,16,4,1,25.0,,0,0.0,25.0
caulfield,sprint_upto_1400m,1,340,39,11.471,,0,0.0,11.471
caulfield,sprint_upto_1400m,2,340,40,11.765,,0,0.0,11.765
caulfield,sprint_upto_1400m,3,340,42,12.353,20.4,20,0.0556,12.8
caulfield,sprint_upto_1400m,4,340,33,9.706,,0,0.0,9.706
caulfield,sprint_upto_1400m,5,340,28,8.235,,0,0.0,8.235
caulfield,sprint_upto_1400m,6,333,41,12.312,14.3,20,0.0567,12.425
caulfield,sprint_upto_1400m,7,320,29,9.062,,0,0.0,9.062
caulfield,sprint_upto_1400m,8,289,26,8.997,,0,0.0,8.997
caulfield,sprint_upto_1400m,9,240,19,7.917,,0,0.0,7.917
caulfield,sprint_upto_1400m,10,186,11,5.914,,0,0.0,5.914
caulfield,sprint_upto_1400m,11,137,13,9.489,,0,0.0,9.489
caulfield,sprint_upto_1400m,12,98,4,4.082,,0,0.0,4.082
caulfield,sprint_upto_1400m,13,60,7,11.667,,0,0.0,11.667
caulfield,sprint_upto_1400m,14,38,7,18.421,16.7,20,0.3448,17.828
caulfield,sprint_upto_1400m,15,23,1,4.348,,0,0.0,4.348
caulfield,sprint_upto_1400m,16,10,0,0.0,,0,0.0,0.0
flemington,middle_1800_2400m,1,52,2,3.846,,0,0.0,3.846
flemington,middle_1800_2400m,2,52,1,1.923,,0,0.0,1.923
flemington,middle_1800_2400m,3,53,5,9.434,13.6,20,0.274,10.575
flemington,middle_1800_2400m,4,52,6,11.538,,0,0.0,11.538
flemington,middle_1800_2400m,5,52,4,7.692,,0,0.0,7.692
flemington,middle_1800_2400m,6,51,3,5.882,15.0,20,0.2817,8.451
flemington,middle_1800_2400m,7,51,9,17.647,,0,0.0,17.647
flemington,middle_1800_2400m,8,51,2,3.922,,0,0.0,3.922
flemington,middle_1800_2400m,9,49,7,14.286,13.0,20,0.2899,13.913
flemington,middle_1800_2400m,10,43,5,11.628,,0,0.0,11.628
flemington,middle_1800_2400m,11,39,1,2.564,,0,0.0,2.564
flemington,middle_1800_2400m,12,34,3,8.824,12.5,20,0.3704,10.185
flemington,middle_1800_2400m,13,26,1,3.846,,0,0.0,3.846
flemington,middle_1800_2400m,14,21,2,9.524,,0,0.0,9.524
flemington,middle_1800_2400m,15,13,0,0.0,,0,0.0,0.0
flemington,middle_1800_2400m,16,8,1,12.5,,0,0.0,12.5
flemington,middle_1800_2400m,17,3,0,0.0,,0,0.0,0.0
flemington,middle_1800_2400m,18,1,0,0.0,,0,0.0,0.0
flemington,mile_1400_1800m,1,121,14,11.57,,0,0.0,11.57
flemington,mile_1400_1800m,2,123,10,8.13,,0,0.0,8.13
flemington,mile_1400_1800m,3,122,10,8.197,9.1,20,0.1408,8.324
flemington,mile_1400_1800m,4,122,5,4.098,,0,0.0,4.098
flemington,mile_1400_1800m,5,121,13,10.744,,0,0.0,10.744
flemington,mile_1400_1800m,6,119,18,15.126,15.4,20,0.1439,15.165
flemington,mile_1400_1800m,7,113,11,9.735,,0,0.0,9.735
flemington,mile_1400_1800m,8,105,6,5.714,9.8,20,0.16,6.368
flemington,mile_1400_1800m,9,97,11,11.34,,0,0.0,11.34
flemington,mile_1400_1800m,10,81,10,12.346,,0,0.0,12.346
flemington,mile_1400_1800m,11,62,6,9.677,,0,0.0,9.677
flemington,mile_1400_1800m,12,46,4,8.696,,0,0.0,8.696
flemington,mile_1400_1800m,13,33,2,6.061,,0,0.0,6.061
flemington,mile_1400_1800m,14,22,0,0.0,,0,0.0,0.0
flemington,mile_1400_1800m,15,12,0,0.0,,0,0.0,0.0
flemington,mile_1400_1800m,16,4,2,50.0,,0,0.0,50.0
