race_date,track_slug,race_number,runner_number,runner_name,finish_position,beaten_lengths,last_400_seconds
2026-08-29,rosehill,6,5,Harry Got Styles,5,1.87,21.82
2026-08-29,rosehill,6,7,Street Artist,4,1.85,21.86
2026-08-29,rosehill,8,4,Warwoven,5,2.9,22.1
2026-08-29,rosehill,8,1,Guest House,1,1.25,22.13
2026-08-29,rosehill,4,1,Beside The Ocean,4,1.07,22.16
2026-08-29,rosehill,3,5,Kenmare Bay,3,2.59,22.17
2026-08-29,rosehill,8,7,Half Pipe,4,2.21,22.18
2026-08-29,rosehill,6,1,She's An Artist,3,1.1,22.21
2026-08-29,rosehill,7,5,Persian Wonder,5,2.81,22.23
2026-08-29,rosehill,8,2,Berzelius,6,3.01,22.26
2026-08-29,rosehill,7,10,Genesis Runner,2,0.73,22.28
2026-08-29,rosehill,6,4,Kimberley Secrets,2,0.19,22.33
2026-08-29,rosehill,4,10,Red Rags To Bulls,5,1.31,22.39
2026-08-29,rosehill,4,5,Avista,6,1.62,22.42
2026-08-29,rosehill,4,4,Scripted,3,0.93,22.44
2026-08-29,rosehill,6,8,Pokerjack,9,3.71,22.44
2026-08-29,rosehill,8,3,Music Time,3,2.15,22.44
2026-08-29,rosehill,3,3,Aethelwulf,1,2.15,22.46
2026-08-29,rosehill,4,6,Transcend,1,0.03,22.46
2026-08-29,rosehill,6,10,Formal,6,1.89,22.46
2026-08-29,rosehill,7,9,Savagram,4,1.5,22.47
2026-08-29,rosehill,6,3,Hanau,11,4.27,22.5
2026-08-29,rosehill,6,6,Confess Our Dreams,10,4.19,22.52
2026-08-29,rosehill,6,12,Oh Arthur,1,0.19,22.54
2026-08-29,rosehill,6,11,Lull,7,3.59,22.55
2026-08-29,rosehill,4,2,Glasgow Lass,2,0.03,22.56
2026-08-29,rosehill,6,9,Who But Roo,8,3.62,22.56
2026-08-29,rosehill,8,6,Blue Door,2,1.25,22.57
2026-08-29,rosehill,4,3,Just In Time,7,1.68,22.58
2026-08-29,rosehill,4,12,Athena's Treasure,8,4.17,22.58
2026-08-29,rosehill,7,1,Diameter,6,3.53,22.58
2026-08-29,rosehill,7,8,Hostwin King,3,1.35,22.61
2026-08-29,rosehill,8,8,Wild Atlantic,8,5.83,22.61
2026-08-29,rosehill,3,1,Unbelievable,5,4.19,22.62
2026-08-29,rosehill,7,7,Joint Venture,9,6.33,22.63
2026-08-29,rosehill,10,7,Lisztomania,1,0.55,22.64
2026-08-29,rosehill,7,6,Plagiarism,1,0.73,22.66
2026-08-29,rosehill,7,11,Savvy Diamond,8,6.14,22.69
2026-08-29,rosehill,3,8,Belle Detelle,6,5.12,22.73
2026-08-29,rosehill,3,2,Taka Speed,4,2.91,22.75
2026-08-29,rosehill,9,7,Althoff,1,0.99,22.76
2026-08-29,rosehill,5,7,Wrathful,8,4.84,22.8
2026-08-29,rosehill,7,4,Outspan,7,4.97,22.86
2026-08-29,rosehill,7,3,Southend,10,6.53,22.86
2026-08-29,rosehill,5,2,Mr Miller,1,2.94,22.88
2026-08-29,rosehill,5,8,Botanical Boy,5,4.43,22.95
2026-08-29,rosehill,3,6,Anthracite,2,2.15,22.97
2026-08-29,rosehill,5,12,Engine Room,7,4.74,23.02
2026-08-29,rosehill,10,2,Grand Impact,2,0.55,23.04
2026-08-29,rosehill,5,9,Invader Zim,2,2.94,23.1
2026-08-29,rosehill,4,13,Flying Chevrolet,9,8.55,23.13
2026-08-29,rosehill,5,6,Cuban Cigar,6,4.59,23.14
2026-08-29,rosehill,8,5,Revengeance,7,5.16,23.15
2026-08-29,rosehill,3,11,Marsabit,9,9.98,23.16
2026-08-29,rosehill,9,10,Rolling Magic,3,2.37,23.17
2026-08-29,rosehill,3,9,Southerly Buster,7,6.33,23.25
2026-08-29,rosehill,9,6,I'mintowin,2,0.99,23.26
2026-08-29,rosehill,9,5,Our Anchorage,6,4.34,23.32
2026-08-29,rosehill,5,4,Silvanito,3,3.12,23.37
2026-08-29,rosehill,5,11,Stagnum,10,7.06,23.4
2026-08-29,rosehill,2,8,Giddy Up Griff,2,1.39,23.42
2026-08-29,rosehill,5,10,Too Many Thoughts,9,5.1,23.43
2026-08-29,rosehill,2,5,Xtreme,3,1.65,23.44
2026-08-29,rosehill,2,11,Fair Master,13,5.11,23.44
2026-08-29,rosehill,10,10,Money Team,6,6.14,23.47
2026-08-29,rosehill,9,3,Fully Lit,4,2.74,23.48
2026-08-29,rosehill,2,13,Lovecats,8,2.79,23.5
2026-08-29,rosehill,10,11,Monte Kate,4,4.68,23.52
2026-08-29,rosehill,2,4,Whateley,10,3.78,23.56
2026-08-29,rosehill,10,4,Cosmic Fire,3,3.01,23.58
2026-08-29,rosehill,5,3,Puntin,4,3.69,23.65
2026-08-29,rosehill,1,11,Prefer Diamonds,3,0.34,23.66
2026-08-29,rosehill,2,16,Seasmoke,14,5.37,23.66
2026-08-29,rosehill,2,1,Condone,11,3.83,23.67
2026-08-29,rosehill,1,10,Proxima Dea,1,0.1,23.71
2026-08-29,rosehill,10,3,Romeo's Choice,7,6.9,23.74
2026-08-29,rosehill,2,6,Zalique,1,1.39,23.76
2026-08-29,rosehill,2,7,Zou Force,4,2.22,23.77
2026-08-29,rosehill,1,4,So Rebellious,5,4.11,23.78
2026-08-29,rosehill,3,4,Shiny New Deel,8,8.07,23.82
2026-08-29,rosehill,9,4,Floating,8,6.48,23.82
2026-08-29,rosehill,2,20,Hinto,9,3.48,23.87
2026-08-29,rosehill,9,1,Run Harry Run,5,3.76,23.9
2026-08-29,rosehill,2,12,The Main Event,5,2.36,23.93
2026-08-29,rosehill,2,9,Imperial State,7,2.63,23.95
2026-08-29,rosehill,10,5,The Three Hundred,8,8.93,24.0
2026-08-29,rosehill,1,7,Lugarno,6,4.96,24.05
2026-08-29,rosehill,2,17,Coella,15,7.5,24.05
2026-08-29,rosehill,2,22,Skibidi,12,4.36,24.08
2026-08-29,rosehill,1,8,The Iron Star,4,3.87,24.1
2026-08-29,rosehill,10,6,Imperial Force,5,4.86,24.1
2026-08-29,rosehill,9,9,Torque To Be Sure,7,5.59,24.15
2026-08-29,rosehill,2,14,Think Back,6,2.43,24.28
2026-08-29,rosehill,1,9,Mr Fabulous,10,8.02,24.3
2026-08-29,rosehill,5,5,Steel Strike,11,11.85,24.35
2026-08-29,rosehill,1,6,Flying Arabesque,9,6.32,24.57
2026-08-29,rosehill,2,19,Sawmill,16,11.96,24.7
2026-08-29,rosehill,1,3,Doradus,2,0.1,24.73
2026-08-29,rosehill,1,13,Channelling,7,5.3,24.83
2026-08-29,rosehill,1,2,Fabrice,11,8.06,24.87
2026-08-29,rosehill,1,1,Federal Reserve,8,5.92,25.19
2026-08-29,rosehill,1,5,Orange Tsunami,12,18.13,26.94
