race_date,track_slug,race_number,race_id,source,official_time_seconds,clock_status,runner_number,horse_name,horse_key,finish_position,result_status,source_finish_time_seconds,runner_clock_status,sectional_rows,sectional_markers,has_finish_marker,sectional_status
2023-09-30,randwick,3,2023-09-30|randwick|3,racing-com-nsw-authorised-v2,,quarantined,14,Volatile,volatile,8,finished,,quarantined,0,0,0,missing
2023-09-30,randwick,3,2023-09-30|randwick|3,racing-com-nsw-authorised-v2,,quarantined,13,Too Soon,toosoon,9,finished,,quarantined,0,0,0,missing
2023-10-07,rosehill,1,2023-10-07|rosehill|1,racing-com-nsw-authorised-v2,90.09,valid,1,Chase My Crown,chasemycrown,1,finished,,quarantined,0,0,0,missing
2023-10-07,rosehill,8,2023-10-07|rosehill|8,racing-com-nsw-authorised-v2,81.21000000000001,valid,17,Wild Planet,wildplanet,13,finished,,quarantined,0,0,0,missing
2023-10-14,randwick,6,2023-10-14|randwick|6,racing-com-nsw-authorised-v2,68.57,valid,12,Greyworm,greyworm,14,finished,,quarantined,0,0,0,missing
2023-10-14,randwick,10,2023-10-14|randwick|10,racing-com-nsw-authorised-v2,94.7,valid,14,Premise,premise,9,finished,,quarantined,0,0,0,missing
2023-10-28,randwick,4,2023-10-28|randwick|4,racing-com-nsw-authorised-v2,96.15,valid,4,Colour Sergeant,coloursergeant,8,finished,,quarantined,0,0,0,missing
2023-11-04,rosehill,2,2023-11-04|rosehill|2,racing-com-nsw-authorised-v2,88.53,valid,5,Fall For Cindy,fallforcindy,3,finished,,quarantined,0,0,0,missing
2023-11-11,rosehill,4,2023-11-11|rosehill|4,racing-com-nsw-authorised-v2,83.62,valid,15,Xeiby,xeiby,14,finished,,quarantined,0,0,0,missing
2024-01-13,rosehill,4,2024-01-13|rosehill|4,racing-com-nsw-authorised-v2,75.71000000000001,valid,1,High Blue Sea,highbluesea,1,finished,,quarantined,0,0,0,missing
2024-01-13,rosehill,5,2024-01-13|rosehill|5,racing-com-nsw-authorised-v2,68.69,valid,4,Billiondollarbaby,billiondollarbaby,100,finished,,quarantined,0,0,0,missing
2024-02-10,randwick,4,2024-02-10|randwick|4,racing-com-nsw-authorised-v2,70.18,valid,21,Super Norwest,supernorwest,5,finished,,quarantined,0,0,0,missing
2024-02-10,randwick,5,2024-02-10|randwick|5,racing-com-nsw-authorised-v2,,quarantined,7,Gently Rolled,gentlyrolled,1,finished,,quarantined,0,0,0,missing
2024-02-10,randwick,5,2024-02-10|randwick|5,racing-com-nsw-authorised-v2,,quarantined,4,Dakota Vroom,dakotavroom,2,finished,,quarantined,0,0,0,missing
2024-02-10,randwick,5,2024-02-10|randwick|5,racing-com-nsw-authorised-v2,,quarantined,5,Afterlight,afterlight,3,finished,,quarantined,0,0,0,missing
