race_id,race_date,track_slug,race_number,snapshot_version,fold,going_bucket,distance_metres,completed_races,same_regime_races,state_reliability,state_early,state_middle,state_late,actual_label,v0_prob_even,meta_v0_prob_even,live_prob_even,safe_live_prob_even,v0_prob_fast,meta_v0_prob_fast,live_prob_fast,safe_live_prob_fast,v0_prob_slow,meta_v0_prob_slow,live_prob_slow,safe_live_prob_slow,v0_prob_very_fast_or_collapse,meta_v0_prob_very_fast_or_collapse,live_prob_very_fast_or_collapse,safe_live_prob_very_fast_or_collapse,actual_early_score,v0_early_score,meta_v0_early_score,live_early_score,actual_middle_score,v0_middle_score,meta_v0_middle_score,live_middle_score,actual_late_score,v0_late_score,meta_v0_late_score,live_late_score
2025-03-01|flemington|1,2025-03-01,flemington,1,V0,1,good,1000,0,0,0.0,0.0,0.0,0.0,even,0.2831287705429581,0.33499724261357067,0.33499724261357067,0.30387615937120316,0.1333628042438111,0.04028329978714978,0.04028329978714978,0.09613100246114657,0.4267073315700317,0.46335844424503786,0.46335844424503786,0.4413677766400341,0.1568010936431988,0.16136101335424174,0.16136101335424174,0.15862506152761596,0.1879728346082335,-0.4916176381519688,-0.4420510289589862,-0.4420510289589862,-0.4264022042668156,-0.2463464208290638,-0.6094745542252852,-0.6094745542252852,-0.3013682116810338,0.0725851331012115,0.09220204114053558,0.09220204114053558
2025-03-01|flemington|2,2025-03-01,flemington,2,V1,1,good,2000,1,1,0.08628887022757795,0.01621996353181983,-0.036793764468732434,-0.026004722508461964,slow,0.1766960722537282,0.27543978097910915,0.28548041299662597,0.2202098085508873,0.0792375551354757,0.06053271970820268,0.06784546454088396,0.074680718897639,0.5993113691601404,0.45361845931169315,0.43821446267160613,0.5348726065647267,0.1447550034506556,0.210409040000995,0.208459659790884,0.17023686598674698,-1.7986420252709,-0.9279300793835124,-0.3295076950593698,-0.3222004418584154,2.6366456961357363,-0.2756564620601618,-0.4930492514223118,-0.42782691107885185,0.9773233453640504,-0.3034484674780613,-0.316021142251215,-0.26490989058114534
2025-03-01|flemington|3,2025-03-01,flemington,3,V2,1,good,1000,2,2,0.3386562279581155,-0.06041755217236532,0.04690150367559426,-0.02219845139222268,even,0.2831287705429581,0.3119217782900447,0.49087772473650554,0.3662283522203771,0.1333628042438111,0.04431732046044397,0.05014232895039242,0.10007461412644363,0.4267073315700317,0.4825609168489542,0.3328258376753678,0.38915473401216616,0.1568010936431988,0.1611999844005571,0.12615410863773438,0.14454229964101303,-0.2543161879993687,-0.4916176381519688,-0.5050271630412232,-0.45985617479454455,-0.1783136490570359,-0.2463464208290638,-0.5103835489838947,0.05349264042676122,0.5453329544704437,0.0725851331012115,0.07292830415705012,0.3865256517616978
2025-03-01|flemington|4,2025-03-01,flemington,4,V3,1,good,1200,3,3,0.4180316627545096,-0.14091557365835383,0.06971815011636104,0.1324775516766134,even,0.2938808373590982,0.38487608230814163,0.4784792692694987,0.3677202101232584,0.1871980676328502,0.038419035622734875,0.05329374434912994,0.1336363383193621,0.3641016793190706,0.4487230238605896,0.373231181318025,0.3677534801186524,0.1548194156889809,0.12798185820853386,0.09499580506334634,0.13088997143872705,-0.4602407535252079,-0.2454864662822626,-0.3876116825548471,-0.41342659145456784,-0.7318942283682193,-0.1527375898595598,-0.5873938615491607,0.14136668816121184,1.2452137098029556,-0.2187451308938946,-0.17992731011108815,0.43726487483654913
2025-03-01|flemington|5,2025-03-01,flemington,5,V4,1,good,1100,4,4,0.5240906582347234,-0.1800537238717176,-0.1298030124331848,0.3433936330218241,slow,0.2831287705429581,0.28962791770521645,0.4334539255376852,0.34325883254084893,0.1333628042438111,0.0486196924693863,0.07355056561339306,0.10943790879164389,0.4267073315700317,0.5011612294213645,0.37958168598024905,0.40785707333411864,0.1568010936431988,0.16059116040403268,0.1134138228686728,0.1394461853333884,-1.1193676433866944,-0.4916176381519688,-0.5680032971234602,-0.49526524894287494,0.5883855561391642,-0.2463464208290638,-0.41129254374250424,0.4384590395748357,0.8797705558390412,0.0725851331012115,0.05365456717356462,0.8743638957192195
2025-03-01|flemington|6,2025-03-01,flemington,6,V5,1,good,1400,5,5,0.503415869483427,-0.3436606908762085,0.07787719419967379,0.3993549832639358,very_fast_or_collapse,0.3873081841432225,0.33011281605454196,0.4037414111287013,0.393881474937414,0.1202046035805626,0.05135555562543972,0.06604352798642091,0.09854017334290592,0.4063527584947022,0.523616189172843,0.4623253595794371,0.4287417989285962,0.0861344537815126,0.09491543914717537,0.06788970130544054,0.07883655279108379,0.7960559544985406,-0.6645800217922166,-0.709227387665793,-0.7879780910394807,0.7543646652040837,-0.1014764834332306,-0.35339979644683983,0.7390606452643769,-0.4919218320994717,-0.117757331210702,-0.08615985991124694,0.8422790921560668
2025-03-01|flemington|7,2025-03-01,flemington,7,V6,1,good,1600,6,6,0.5063671089142965,-0.11765637305760078,0.25887658262588054,0.1799275665415579,very_fast_or_collapse,0.3188405797101449,0.298136270003307,0.3173317208636205,0.31823703617153515,0.1129898013955985,0.06781231682085508,0.12627546070909232,0.11830406512099603,0.4235488076067786,0.424022595304176,0.41175287985014625,0.41883043650412566,0.1446208112874779,0.21002881787166192,0.14463993857714114,0.1446284622033432,1.6022199268433102,-0.4279709161387624,-0.22836831519948908,-0.24031306845718825,1.0413190672621124,-0.3901908857157052,-0.3630743162780832,0.568205037672383,-0.689820094919242,-0.2135825695844904,-0.39487372766526846,0.6100261621637383
2025-03-01|flemington|8,2025-03-01,flemington,8,V7,1,good,1600,7,7,0.575699032141664,0.2554398094870734,0.40677795338471595,-0.017165859568395954,even,0.2664512338425382,0.3145521663208196,0.4018192983839235,0.32059845965909234,0.154524089306698,0.06415691649772244,0.1815678467701172,0.1653415922920657,0.462229310055397,0.48427512088715513,0.32291716254812497,0.4065044510524882,0.1167953667953667,0.13701579629430274,0.0936956922978343,0.10755549699635374,0.3944675199826946,-0.728217716678153,-0.46763656517802793,-0.104768591328881,0.6389912458199349,-0.1470286727014672,-0.22353999137882094,0.6750284137409326,0.1686226898691551,-0.3677734431956144,-0.4166055997181839,0.6844015734261802
2025-03-01|flemington|9,2025-03-01,flemington,9,V8,1,good,1200,8,8,0.6005023578851878,0.06282055538570148,0.23633189180010553,0.15381144264944566,even,0.2938808373590982,0.3235728428235157,0.43545688915646363,0.3505112580780444,0.1871980676328502,0.049012581223882856,0.12202791776765042,0.1611300076867703,0.3641016793190706,0.4991211669004664,0.340907424120846,0.35482397723978076,0.1548194156889809,0.12829340905213524,0.10160776895503995,0.1335347569954045,0.3967592702803528,-0.2454864662822626,-0.5450520177604398,-0.20498407653739184,-0.8467011661514775,-0.1527375898595598,-0.3396663484456846,0.6930525446967238,-0.8301424732019612,-0.2187451308938946,-0.2281116525698017,0.8140051122268106
2025-03-01|flemington|10,2025-03-01,flemington,10,V9,1,good,1600,9,9,0.6184608775811481,0.26196995309821514,0.27408742140899045,-0.06520796450676083,even,0.2552513866523528,0.15601304755058648,0.15066301573542062,0.21341603828557995,0.0911612095186974,0.09073994666246273,0.312029963850019,0.17950871125122606,0.5634051580911484,0.5236268960161699,0.3061966760292079,0.46052176526637223,0.0901822457378012,0.22962010977078098,0.23111034438535238,0.14655348519682168,0.2678483160376347,-0.697425685485157,-0.7500341225500797,-0.22269345367892118,0.7573229580088137,-0.5149183868520831,-0.11126843249678008,0.8001466652858434,-0.1992813607544488,0.0740981288228761,-0.06536672875062141,0.8906991632294596
