snapshot_model_version,race_id,race_date,track_slug,race_number,snapshot_version,fold,going_bucket,completed_races,same_regime_races,state_reliability,update_eligible,reason_codes,early_score_status,middle_score_status,late_score_status,actual_label,v0_prob_even,governed_prob_even,v0_prob_fast,governed_prob_fast,v0_prob_slow,governed_prob_slow,v0_prob_very_fast_or_collapse,governed_prob_very_fast_or_collapse,actual_early_score,v0_early_score,governed_early_score,actual_middle_score,v0_middle_score,governed_middle_score,actual_late_score,v0_late_score,governed_late_score,snapshot_sha256
expected-tempo-governed-shadow-v1,2025-03-01|flemington|1,2025-03-01,flemington,1,V0,1,good,0,0,0.0,0,"no_completed_races,insufficient_state_reliability,probabilities_held",held_by_policy,held_insufficient_evidence,held_insufficient_evidence,even,0.2831287705429581,0.2831287705429581,0.1333628042438111,0.1333628042438111,0.4267073315700317,0.4267073315700317,0.1568010936431988,0.1568010936431988,0.1879728346082335,-0.4916176381519688,-0.4916176381519688,-0.4264022042668156,-0.2463464208290638,-0.2463464208290638,-0.3013682116810338,0.0725851331012115,0.0725851331012115,928a01072f9c68fd59c4326f586f462b7eb0626710d3df28b7cede0fbbc22a64
expected-tempo-governed-shadow-v1,2025-03-01|flemington|2,2025-03-01,flemington,2,V1,1,good,1,1,0.0862888702275779,0,"insufficient_state_reliability,probabilities_held",held_by_policy,held_insufficient_evidence,held_insufficient_evidence,slow,0.1766960722537282,0.1766960722537282,0.0792375551354757,0.0792375551354757,0.5993113691601404,0.5993113691601404,0.1447550034506556,0.1447550034506556,-1.7986420252709,-0.9279300793835124,-0.9279300793835124,2.6366456961357363,-0.2756564620601618,-0.2756564620601618,0.9773233453640504,-0.3034484674780613,-0.3034484674780613,6f351472df95202115414f8454a0385ede9926ec0efa665710a7f595b0a2f177
expected-tempo-governed-shadow-v1,2025-03-01|flemington|3,2025-03-01,flemington,3,V2,1,good,2,2,0.3386562279581155,1,"probabilities_updated,probability_cap_applied",held_by_policy,updated,updated,even,0.2831287705429581,0.3331287705429581,0.1333628042438111,0.11333370816088037,0.4267073315700317,0.4041123937858443,0.1568010936431988,0.14942512751031697,-0.2543161879993687,-0.4916176381519688,-0.4916176381519688,-0.1783136490570359,-0.2463464208290638,0.05349264042676119,0.5453329544704437,0.0725851331012115,0.3865256517616978,8d948f6d3472c4163a272bc4419d3c7c605db6639e1f539154ed8359fa88cd8a
expected-tempo-governed-shadow-v1,2025-03-01|flemington|4,2025-03-01,flemington,4,V3,1,good,3,3,0.4180316627545096,1,"probabilities_updated,probability_cap_applied",held_by_policy,updated,capped,even,0.2938808373590982,0.3438808373590982,0.1871980676328502,0.15092898292342155,0.3641016793190706,0.36657447984735075,0.1548194156889809,0.1386156998701294,-0.4602407535252079,-0.2454864662822626,-0.2454864662822626,-0.7318942283682193,-0.1527375898595598,0.1413666881612118,1.2452137098029556,-0.2187451308938946,0.2812548691061054,c335f856384fe3700c413e38e37a708fafdc5a75550d594dfbc61853700fc84f
expected-tempo-governed-shadow-v1,2025-03-01|flemington|5,2025-03-01,flemington,5,V4,1,good,4,4,0.5240906582347234,1,"probabilities_updated,probability_cap_applied",held_by_policy,capped,capped,slow,0.2831287705429581,0.3331287705429581,0.1333628042438111,0.11346851621446688,0.4267073315700317,0.411032760806597,0.1568010936431988,0.14236995243597772,-1.1193676433866944,-0.4916176381519688,-0.4916176381519688,0.5883855561391642,-0.2463464208290638,0.2536535791709362,0.8797705558390412,0.0725851331012115,0.5725851331012115,ce2489198f4eac50361eab942aed675dd061c986f58f84f6bc24277a84ba670b
expected-tempo-governed-shadow-v1,2025-03-01|flemington|6,2025-03-01,flemington,6,V5,1,good,5,5,0.503415869483427,1,probabilities_updated,held_by_policy,capped,capped,very_fast_or_collapse,0.3873081841432225,0.393881474937414,0.1202046035805626,0.0985401733429059,0.4063527584947022,0.4287417989285962,0.0861344537815126,0.0788365527910837,0.7960559544985406,-0.6645800217922166,-0.6645800217922166,0.7543646652040837,-0.1014764834332306,0.39852351656676943,-0.4919218320994717,-0.117757331210702,0.382242668789298,1591874a64df054a3dc7d120ecef5b709e3858ff9198f74b08a8e305b63cfba8
expected-tempo-governed-shadow-v1,2025-03-01|flemington|7,2025-03-01,flemington,7,V6,1,good,6,6,0.5063671089142965,1,probabilities_updated,held_by_policy,capped,capped,very_fast_or_collapse,0.3188405797101449,0.3182370361715351,0.1129898013955985,0.118304065120996,0.4235488076067786,0.4188304365041256,0.1446208112874779,0.1446284622033432,1.6022199268433102,-0.4279709161387624,-0.4279709161387624,1.0413190672621124,-0.3901908857157052,0.1098091142842948,-0.689820094919242,-0.2135825695844904,0.2864174304155096,2506694037574085cc2ee351c72ae0f0491bb7ffaf390f64b734a0f711c36231
expected-tempo-governed-shadow-v1,2025-03-01|flemington|8,2025-03-01,flemington,8,V7,1,good,7,7,0.575699032141664,1,"probabilities_updated,probability_cap_applied",held_by_policy,capped,capped,even,0.2664512338425382,0.3150356778280561,0.154524089306698,0.16423026279814015,0.462229310055397,0.41222931005539704,0.1167953667953667,0.10850474931840665,0.3944675199826946,-0.728217716678153,-0.728217716678153,0.6389912458199349,-0.1470286727014672,0.3529713272985328,0.1686226898691551,-0.3677734431956144,0.1322265568043856,edf766c1441aaa89a1b75c5b10ddfeecd1fc5d00547861ce43aad0df76fc0a75
expected-tempo-governed-shadow-v1,2025-03-01|flemington|9,2025-03-01,flemington,9,V8,1,good,8,8,0.6005023578851878,1,"probabilities_updated,probability_cap_applied",held_by_policy,capped,capped,even,0.2938808373590982,0.3438808373590982,0.1871980676328502,0.164182116475208,0.3641016793190706,0.3559102320708375,0.1548194156889809,0.13602681409485623,0.3967592702803528,-0.2454864662822626,-0.2454864662822626,-0.8467011661514775,-0.1527375898595598,0.34726241014044024,-0.8301424732019612,-0.2187451308938946,0.2812548691061054,fd14929896e2d82665310122be05c6ca16d34206092b8b37edbc91fa8a67eccf
expected-tempo-governed-shadow-v1,2025-03-01|flemington|10,2025-03-01,flemington,10,V9,1,good,9,9,0.6184608775811481,1,"probabilities_updated,probability_cap_applied",held_by_policy,capped,capped,even,0.2552513866523528,0.23491994772030672,0.0911612095186974,0.13409695420345707,0.5634051580911484,0.5134051580911484,0.0901822457378012,0.1175779399850875,0.2678483160376347,-0.697425685485157,-0.697425685485157,0.7573229580088137,-0.5149183868520831,-0.014918386852083132,-0.1992813607544488,0.0740981288228761,0.5740981288228761,56f4df2153a46509c56962f05e15b1e6ed20982ded55ba098a19ae57205bf906
