race_date,track_slug,race_number,distance_metres,race_class,class_family,runner_number,horse_name,horse_key,finish_position,beaten_lengths,weight_carried_kg,official_handicap_rating,official_time_seconds,source_finish_time_seconds,accepted_rating,accepted_model,shadow_achieved_rating,shadow_model,rank,shadow_next_start_carry_fraction,shadow_next_start_state_estimate,next_start_estimate_status,sectional_count,section_sum_seconds,section_sum_residual_seconds,last_200_seconds,last_400_seconds,last_600_seconds,last_800_seconds,clock_evidence_available,energy_evidence_available,wfa_profile_available,collected_at
2026-09-12,flemington,8,1600,"Standard Weight for Age. Group 1. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_1,12,Sheza Alibi,shezaalibi,1,2.75,56.5,116.0,95.34,95.34,114.236301904,form-first-v2.0,117.44111532511117,achieved-run-v2.10-young-wfa-shadow,1,0.0,114.236301904,research run-based carry-forward proxy; no integrated horse-state forecast,8,95.34,0.0,11.36,21.96,32.81,44.74,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,8,1600,"Standard Weight for Age. Group 1. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_1,7,Another Wil,anotherwil,3,3.15,59.0,111.0,95.34,95.81,113.447858454,form-first-v2.0,107.01611532511117,achieved-run-v2.10-young-wfa-shadow,2,0.0,113.447858454,research run-based carry-forward proxy; no integrated horse-state forecast,8,95.81,0.0,11.57,22.45,33.59,45.78,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,8,1600,"Standard Weight for Age. Group 1. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_1,8,Autumn Boy,autumnboy,2,2.75,58.5,111.0,95.34,95.76,113.145547144,form-first-v2.0,107.81611532511117,achieved-run-v2.10-young-wfa-shadow,3,0.0,113.145547144,research run-based carry-forward proxy; no integrated horse-state forecast,8,95.76,0.0,11.38,22.1,32.97,44.92,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,8,1600,"Standard Weight for Age. Group 1. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_1,4,Sir Delius,sirdelius,4,3.9,59.0,119.0,95.34,95.92,111.947858454,form-first-v2.0,105.51611532511117,achieved-run-v2.10-young-wfa-shadow,4,0.0,111.947858454,research run-based carry-forward proxy; no integrated horse-state forecast,8,95.92,0.0,11.6,22.48,33.62,45.55,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,7,1200,"Quality. Group 2. Four-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 20.",group_2,1,Desert Lightning,desertlightning,6,1.36,59.0,110.0,68.98,69.18,110.48074833733334,form-first-v2.0,111.59630850523243,achieved-run-v2.10-young-wfa-shadow,5,0.0,110.48074833733334,research run-based carry-forward proxy; no integrated horse-state forecast,6,69.18,0.0,11.65,22.34,32.87,43.74,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,8,1600,"Standard Weight for Age. Group 1. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_1,2,Half Yours,halfyours,6,4.65,59.0,115.0,95.34,96.04,110.447858454,form-first-v2.0,104.01611532511117,achieved-run-v2.10-young-wfa-shadow,6,0.0,110.447858454,research run-based carry-forward proxy; no integrated horse-state forecast,8,96.04,0.0,11.39,22.14,33.17,45.0,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,8,1600,"Standard Weight for Age. Group 1. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_1,1,Mr Brightside,mrbrightside,7,5.0,59.0,119.0,95.34,96.1,109.747858454,form-first-v2.0,103.31611532511117,achieved-run-v2.10-young-wfa-shadow,7,0.0,109.747858454,research run-based carry-forward proxy; no integrated horse-state forecast,8,96.1,0.0,11.83,22.79,33.85,45.87,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,7,1200,"Quality. Group 2. Four-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 20.",group_2,3,Hedged,hedged,2,0.46,57.5,107.0,68.98,69.05,109.57381440733333,form-first-v2.0,110.68937457523243,achieved-run-v2.10-young-wfa-shadow,8,0.0,109.57381440733333,research run-based carry-forward proxy; no integrated horse-state forecast,6,69.05,0.0,11.81,22.37,32.91,43.8,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,rosehill,7,1200,"Set Weights plus Penalties. Group 2. Three-Years-Old and Upwards, Fillies and Mares. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_2,2,Lazzura,lazzura,3,0.61,58.0,115.0,68.85,68.96000000000001,109.07406285866668,form-first-v2.0,104.15606044506497,achieved-run-v2.10-young-wfa-shadow,9,0.0,109.07406285866668,research run-based carry-forward proxy; no integrated horse-state forecast,6,68.96,-0.0,11.48,22.43,33.48,44.7,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,8,1600,"Standard Weight for Age. Group 1. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_1,3,Light Infantry Man,lightinfantryman,8,5.5,59.0,115.0,95.34,96.18,108.747858454,form-first-v2.0,102.31611532511117,achieved-run-v2.10-young-wfa-shadow,10,0.0,108.747858454,research run-based carry-forward proxy; no integrated horse-state forecast,8,96.18,0.0,11.6,22.53,33.79,45.85,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,7,1200,"Quality. Group 2. Four-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 20.",group_2,2,Arkansaw Kid,arkansawkid,4,0.81,57.5,107.0,68.98,69.1,108.64048107400001,form-first-v2.0,109.7560412418991,achieved-run-v2.10-young-wfa-shadow,11,0.0,108.64048107400001,research run-based carry-forward proxy; no integrated horse-state forecast,6,69.1,0.0,11.63,22.13,32.6,43.45,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,rosehill,7,1200,"Set Weights plus Penalties. Group 2. Three-Years-Old and Upwards, Fillies and Mares. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_2,4,Savvy Hallie,savvyhallie,1,0.35,57.0,104.0,68.85,68.85,108.49610690533335,form-first-v2.0,106.48272711173163,achieved-run-v2.10-young-wfa-shadow,12,0.0,108.49610690533335,research run-based carry-forward proxy; no integrated horse-state forecast,6,68.85,0.0,11.72,22.77,33.96,45.23,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,rosehill,9,1300,"Quality. Group 2. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 14.",group_2,6,Skyhook,skyhook,1,1.15,56.0,103.0,75.52,75.52,107.021849048,form-first-v2.0,106.58976668811682,achieved-run-v2.10-young-wfa-shadow,13,0.0,107.021849048,research run-based carry-forward proxy; no integrated horse-state forecast,7,75.52,0.0,11.44,22.2,33.4,44.61,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,7,1200,"Quality. Group 2. Four-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 20.",group_2,5,Oliveanotherday,oliveanotherday,5,1.16,57.0,106.0,68.98,69.15,106.60483643066667,form-first-v2.0,107.72039659856576,achieved-run-v2.10-young-wfa-shadow,14,0.0,106.60483643066667,research run-based carry-forward proxy; no integrated horse-state forecast,6,69.15,0.0,11.76,22.35,32.86,43.63,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,8,1600,"Standard Weight for Age. Group 1. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_1,11,She's A Hustler,shesahustler,5,4.4,57.0,109.0,95.34,96.0,106.53861321400001,form-first-v2.0,104.51611532511117,achieved-run-v2.10-young-wfa-shadow,15,0.0,106.53861321400001,research run-based carry-forward proxy; no integrated horse-state forecast,8,96.0,0.0,11.35,22.29,33.31,45.23,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,7,1200,"Quality. Group 2. Four-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 20.",group_2,4,King Of Roseau,kingofroseau,7,2.11,57.5,107.0,68.98,69.28,105.17381440733334,form-first-v2.0,106.28937457523243,achieved-run-v2.10-young-wfa-shadow,16,0.0,105.17381440733334,research run-based carry-forward proxy; no integrated horse-state forecast,6,69.28,0.0,11.57,22.23,32.66,43.45,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,rosehill,7,1200,"Set Weights plus Penalties. Group 2. Three-Years-Old and Upwards, Fillies and Mares. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_2,3,Apocalyptic,apocalyptic,5,2.08,58.0,103.0,68.85,69.21000000000001,105.15406285866668,form-first-v2.0,100.23606044506496,achieved-run-v2.10-young-wfa-shadow,17,0.0,105.15406285866668,research run-based carry-forward proxy; no integrated horse-state forecast,6,69.21,-0.0,11.65,22.61,33.61,44.93,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,flemington,6,1400,"Handicap. Listed. Four-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",listed,1,Cafe Millenium,cafemillenium,3,0.81,59.0,104.0,81.46,81.58,105.134320716,form-first-v2.0,102.64864301325957,achieved-run-v2.10-young-wfa-shadow,18,0.0,105.134320716,research run-based carry-forward proxy; no integrated horse-state forecast,7,81.58,0.0,11.81,22.78,33.7,44.69,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,rosehill,9,1300,"Quality. Group 2. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 14.",group_2,4,Sandpaper,sandpaper,4,1.79,57.0,104.0,75.52,75.82,104.75147166800001,form-first-v2.0,102.16313930811683,achieved-run-v2.10-young-wfa-shadow,19,0.0,104.75147166800001,research run-based carry-forward proxy; no integrated horse-state forecast,7,75.82,0.0,11.74,22.79,34.04,45.36,True,True,False,2026-09-14T03:48:46.432498+00:00
2026-09-12,rosehill,7,1200,"Set Weights plus Penalties. Group 2. Three-Years-Old and Upwards, Fillies and Mares. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",group_2,5,Gangsta Granny,gangstagranny,2,0.35,55.5,108.0,68.85,68.91,104.25583964200001,form-first-v2.0,104.8493937783983,achieved-run-v2.10-young-wfa-shadow,20,0.0,104.25583964200001,research run-based carry-forward proxy; no integrated horse-state forecast,6,68.91,0.0,11.62,22.63,33.58,44.74,True,True,False,2026-09-14T03:48:46.432498+00:00
