race_date,track_slug,race_number,runner_number,runner_name,result_status,finish_position,beaten_lengths,finish_time_seconds,weight_carried_kg,barrier,jockey,trainer,official_handicap_rating,distance_metres,race_class,official_time_seconds,track_condition,rail_position,scheduled_start_at,source,source_url
2026-09-12,flemington,1,1,Space Rider,finished,2,2.75,70.56,60.0,5,M.Zahra,Mick Price & Michael Kent (Jnr),84.0,1200,"Handicap. Three-Years-Old and Upwards, No sex restriction. BenchMark 84. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 20.",70.13,Good,True Entire Circuit,2026-09-12T02:10:00.000Z,racing-com-rv-authorised,https://www.racing.com/form/2026-09-12/flemington
2026-09-12,flemington,1,2,Eagle Express,scratched,,,,59.0,,B.A.Shinn,C.J.Waller,86.0,1200,"Handicap. Three-Years-Old and Upwards, No sex restriction. BenchMark 84. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 20.",70.13,Good,True Entire Circuit,2026-09-12T02:10:00.000Z,racing-com-rv-authorised,https://www.racing.com/form/2026-09-12/flemington
2026-09-12,flemington,1,3,Markdel,finished,4,3.11,70.6,58.5,3,C.Williams,Allan & Jason Williams,81.0,1200,"Handicap. Three-Years-Old and Upwards, No sex restriction. BenchMark 84. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 20.",70.13,Good,True Entire Circuit,2026-09-12T02:10:00.000Z,racing-com-rv-authorised,https://www.racing.com/form/2026-09-12/flemington
2026-09-12,flemington,1,4,Moby Dick,finished,5,4.36,70.82,58.0,4,J.Mott,G.M.Bedggood,80.0,1200,"Handicap. Three-Years-Old and Upwards, No sex restriction. BenchMark 84. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 20.",70.13,Good,True Entire Circuit,2026-09-12T02:10:00.000Z,racing-com-rv-authorised,https://www.racing.com/form/2026-09-12/flemington
2026-09-12,flemington,1,5,Naval Academy,finished,3,3.05,70.6,57.0,6,J.A.Johnstone,C.Maher,78.0,1200,"Handicap. Three-Years-Old and Upwards, No sex restriction. BenchMark 84. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 20.",70.13,Good,True Entire Circuit,2026-09-12T02:10:00.000Z,racing-com-rv-authorised,https://www.racing.com/form/2026-09-12/flemington
2026-09-12,flemington,1,6,Jett Smash,finished,1,2.75,70.13,55.5,2,D.M.Lane,D.T.O'Brien,75.0,1200,"Handicap. Three-Years-Old and Upwards, No sex restriction. BenchMark 84. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 20.",70.13,Good,True Entire Circuit,2026-09-12T02:10:00.000Z,racing-com-rv-authorised,https://www.racing.com/form/2026-09-12/flemington
2026-09-12,flemington,1,7,Ruska Roma,finished,6,4.71,70.87,54.0,1,L.K.Cartwright,G.M.Begg,76.0,1200,"Handicap. Three-Years-Old and Upwards, No sex restriction. BenchMark 84. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 20.",70.13,Good,True Entire Circuit,2026-09-12T02:10:00.000Z,racing-com-rv-authorised,https://www.racing.com/form/2026-09-12/flemington
2026-09-12,flemington,2,1,Rich On Bubbles,finished,9,3.05,83.31,58.0,2,M.J.Dee,"Ben, Will & JD Hayes",73.0,1400,"Set Weights plus Penalties. Listed. Three-Years-Old, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16. This race carries a $20,000 Nominator Bonus only for qualified horses.",82.83,Good,True Entire Circuit,2026-09-12T02:40:00.000Z,racing-com-rv-authorised,https://www.racing.com/form/2026-09-12/flemington
2026-09-12,flemington,2,2,Diameter,finished,6,2.09,83.15,58.0,1,J.Collett,C.J.Waller,84.0,1400,"Set Weights plus Penalties. Listed. Three-Years-Old, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16. This race carries a $20,000 Nominator Bonus only for qualified horses.",82.83,Good,True Entire Circuit,2026-09-12T02:40:00.000Z,racing-com-rv-authorised,https://www.racing.com/form/2026-09-12/flemington
2026-09-12,flemington,2,3,Unit Five,finished,7,2.55,83.23,58.0,12,T.Stockdale,C.Maher,85.0,1400,"Set Weights plus Penalties. Listed. Three-Years-Old, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16. This race carries a $20,000 Nominator Bonus only for qualified horses.",82.83,Good,True Entire Circuit,2026-09-12T02:40:00.000Z,racing-com-rv-authorised,https://www.racing.com/form/2026-09-12/flemington
