timestamp,lat,lon,commence_time,temperature,wind_speed,wind_gust,precip_prob,precip_intensity,dew_point,humidity,condition,flags
2026-05-12T22:32:24.285Z,-34.0398,151.1232,2026-05-15T08:00:00Z,17,6,11,0,0,15,86,average,"DEW RISK"
2026-05-12T22:32:24.290Z,-27.9697,153.3808,2026-05-17T04:00:00Z,23,12,27,20,0,18,75,average,"MILD DEW"
2026-05-12T22:32:24.295Z,-33.8915,151.2248,2026-05-16T07:30:00Z,19,9,17,0,0,16,81,average,"MILD DEW"
2026-05-12T22:32:24.302Z,-33.8136,150.9856,2026-05-16T05:00:00Z,20,6,17,15,0,14,71,average,"MILD DEW"
2026-05-12T22:32:24.303Z,-33.8136,150.9856,2026-05-16T09:45:00Z,16,6,11,0,0,15,94,average,"DEW RISK"
2026-05-12T22:32:24.308Z,-33.8472,151.0631,2026-05-15T10:05:00Z,15,2,4,0,0,14,93,average,"DEW RISK"
2026-05-12T22:32:24.336Z,-34.0398,151.1232,2026-05-15T08:00:00Z,17,6,11,0,0,15,86,average,"DEW RISK"
2026-05-12T22:32:24.351Z,-33.8915,151.2248,2026-05-16T07:30:00Z,19,9,17,0,0,16,81,average,"MILD DEW"
2026-05-12T22:32:24.351Z,-27.9697,153.3808,2026-05-17T04:00:00Z,23,12,27,20,0,18,75,average,"MILD DEW"
2026-05-12T22:32:24.366Z,-33.8136,150.9856,2026-05-16T09:45:00Z,16,6,11,0,0,15,94,average,"DEW RISK"
2026-05-12T22:32:24.388Z,-33.8136,150.9856,2026-05-16T05:00:00Z,20,6,17,15,0,14,71,average,"MILD DEW"
2026-05-12T22:32:24.398Z,-33.8472,151.0631,2026-05-15T10:05:00Z,15,2,4,0,0,14,93,average,"DEW RISK"
2026-05-12T22:32:24.999Z,-33.75,150.6942,2026-05-17T08:25:00Z,17,7,15,45,0,16,98,poor,"SHOWERS|DEW RISK"
2026-05-12T22:32:25.055Z,-36.9021,174.7618,2026-05-17T06:05:00Z,13,9,18,0,0,9,76,average,"MILD DEW"
