home,away,selection,model_fair,opening_odds,closing_odds,model_edge_open_pct,model_edge_close_pct,model_minus_close_fair_pp,opening_to_close_clv_pct,opening_quote_time,closing_quote_time,source_url
Club Brugge,Aston Villa,home,2.5728402979817235,2.6399999999999997,2.48,2.6103331042723443,-3.608474962653241,-0.37750469269191567,6.451612903225801,not supplied,2026-09-08T16:41:58.200698+00:00,https://theoddsgap.com/odds/champions-league/aston-villa-vs-club-brugge
Club Brugge,Aston Villa,draw,3.3000835484086175,,3.61,,9.391169861164016,3.3416712426430237,,not supplied,2026-09-08T16:41:58.200698+00:00,https://theoddsgap.com/odds/champions-league/aston-villa-vs-club-brugge
Club Brugge,Aston Villa,away,3.243574284649587,2.48,2.88,-23.541137573548077,-11.209062988636475,-2.964166549951103,-13.888888888888884,not supplied,2026-09-08T16:41:58.200698+00:00,https://theoddsgap.com/odds/champions-league/aston-villa-vs-club-brugge
Borussia Dortmund,Villarreal,home,1.67214528081467,1.7936507936507935,1.7407407407407407,7.266444741985945,4.102242832192848,3.93206231797657,3.039513677811545,not supplied,2026-09-08T18:57:02.426968+00:00,https://theoddsgap.com/odds/champions-league/villarreal-vs-borussia-dortmund
Borussia Dortmund,Villarreal,draw,4.125606568786402,,4.15,,0.5912689638938096,0.8033077599359645,,not supplied,2026-09-08T18:57:02.426968+00:00,https://theoddsgap.com/odds/champions-league/villarreal-vs-borussia-dortmund
Borussia Dortmund,Villarreal,away,6.266557846304585,4.07,4.7,-35.05206367160408,-24.998697606029296,-4.7353700779125205,-13.40425531914894,not supplied,2026-09-08T18:57:02.426968+00:00,https://theoddsgap.com/odds/champions-league/villarreal-vs-borussia-dortmund
Porto,Manchester City,home,3.6586546573777796,4.18,5.6,14.249646152607287,53.06172690301454,9.94844793453035,-25.357142857142854,not supplied,2026-09-08T18:57:02.426968+00:00,https://theoddsgap.com/odds/champions-league/manchester-city-vs-porto
Porto,Manchester City,draw,3.5382433921085874,,4.1,,15.876709023022805,4.518607452043463,,not supplied,2026-09-08T18:57:02.426968+00:00,https://theoddsgap.com/odds/champions-league/manchester-city-vs-porto
Porto,Manchester City,away,2.252001853460357,1.7936507936507935,1.65359477124183,-20.35304984786204,-26.5722286728598,-14.467055386573808,8.469791078486733,not supplied,2026-09-08T18:57:02.426968+00:00,https://theoddsgap.com/odds/champions-league/manchester-city-vs-porto
Real Madrid,Inter,home,3.0143521718709185,1.606060606060606,1.606060606060606,-46.719543222324546,-46.719543222324546,-27.373003477173857,0.0,not supplied,2026-09-08T18:57:02.426968+00:00,https://theoddsgap.com/odds/champions-league/inter-milan-vs-real-madrid
Real Madrid,Inter,draw,3.5867495726119056,,4.5,,25.46178396065317,6.270805473050848,,not supplied,2026-09-08T18:57:02.426968+00:00,https://theoddsgap.com/odds/champions-league/inter-milan-vs-real-madrid
Real Madrid,Inter,away,2.567725062365987,5.02,5.45,95.50379725524061,112.25013845439472,21.102198004123,-7.88990825688074,not supplied,2026-09-08T18:57:02.426968+00:00,https://theoddsgap.com/odds/champions-league/inter-milan-vs-real-madrid
Barcelona,Feyenoord,home,1.4642913732851048,1.1385041551246537,1.0816326530612246,-22.248797206907987,-26.132689654887066,-21.39268924572916,5.257931322845333,not supplied,2026-09-09T16:42:20.042597+00:00,https://theoddsgap.com/odds/champions-league/feyenoord-vs-barcelona
Barcelona,Feyenoord,draw,5.620707432495099,,13.5,,140.18328941926782,10.605699840680186,,not supplied,2026-09-09T16:42:20.042597+00:00,https://theoddsgap.com/odds/champions-league/feyenoord-vs-barcelona
Barcelona,Feyenoord,away,7.185856161580049,14.94,31.0,107.90841987456292,331.4030131266032,10.786989405048963,-51.806451612903224,not supplied,2026-09-09T16:42:20.042597+00:00,https://theoddsgap.com/odds/champions-league/feyenoord-vs-barcelona
Liverpool,Atlético de Madrid,home,1.6340064517747477,1.7462686567164178,1.7692307692307692,6.870364851970967,8.275629347065916,6.216141652273722,-1.29785853341986,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/atletico-madrid-vs-liverpool
Liverpool,Atlético de Madrid,draw,4.457346240759992,,4.0,,-10.26050515389203,-1.8845863559645681,,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/atletico-madrid-vs-liverpool
Liverpool,Atlético de Madrid,away,6.110281715118507,4.4,4.7,-27.990226880813076,-23.080469622686707,-4.331555296309136,-6.382978723404253,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/atletico-madrid-vs-liverpool
Paris Saint-Germain,Slovan Bratislava,home,1.1675269934481427,1.049800796812749,1.04,-10.083381137741776,-10.922830406816363,-7.722424594491983,0.942384308918176,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/sk-slovan-bratislava-vs-paris-saint-germain
Paris Saint-Germain,Slovan Bratislava,draw,10.970686540002813,,21.0,,91.41919626840979,4.490985956997833,,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/sk-slovan-bratislava-vs-paris-saint-germain
Paris Saint-Germain,Slovan Bratislava,away,19.107030744303238,30.59,48.5,60.09813565156068,153.83326508992127,3.231438637494144,-36.92783505154639,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/sk-slovan-bratislava-vs-paris-saint-germain
Sporting CP,Galatasaray,home,1.5923572607758714,2.01,1.625,26.227954587316237,2.0499632857656325,2.8376895373603994,23.69230769230768,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/galatasaray-vs-sporting-lisbon
Sporting CP,Galatasaray,draw,4.739756631091129,,4.5,,-5.0584164916487655,-0.5549187287119423,,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/galatasaray-vs-sporting-lisbon
Sporting CP,Galatasaray,away,6.210449943165054,3.66,5.3,-41.067071895039845,-14.659967498281745,-2.2827708086484404,-30.94339622641509,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/galatasaray-vs-sporting-lisbon
Napoli,Arsenal,home,4.216116916364203,4.13,5.4,-2.042564712329331,28.07993960131274,5.710905904874172,-23.518518518518526,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/arsenal-vs-napoli
Napoli,Arsenal,draw,4.071403822927086,,3.9,,-4.209944048337045,-0.37204917008443195,,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/arsenal-vs-napoli
Napoli,Arsenal,away,1.933490260699571,1.8771929824561404,1.704225352112676,-2.9116918449364815,-11.857567283733971,-5.3388567347897435,10.149340292880972,not supplied,2026-09-09T18:57:55.401905+00:00,https://theoddsgap.com/odds/champions-league/arsenal-vs-napoli
PSV Eindhoven,Shakhtar Donetsk,home,1.9681123471745263,1.4201680672268908,1.5128205128205128,-27.841107787077235,-23.133427063126877,-13.504085961347611,-6.124483691781791,not supplied,2026-09-10T16:42:11.012513+00:00,https://theoddsgap.com/odds/champions-league/shakhtar-donetsk-vs-psv-eindhoven
PSV Eindhoven,Shakhtar Donetsk,draw,4.35684578907955,,4.75,,9.023826638663524,2.4690516742257307,,not supplied,2026-09-10T16:42:11.012513+00:00,https://theoddsgap.com/odds/champions-league/shakhtar-donetsk-vs-psv-eindhoven
PSV Eindhoven,Shakhtar Donetsk,away,3.811337583707116,6.55,6.4,71.8556768101636,67.92005062367133,11.035034287121878,2.34375,not supplied,2026-09-10T16:42:11.012513+00:00,https://theoddsgap.com/odds/champions-league/shakhtar-donetsk-vs-psv-eindhoven
Bayern Munich,Bodo/Glimt,home,1.2811149176465912,1.1517450682852808,1.08,-10.098223631566395,-15.698429147639569,-11.840529597801485,6.643061878266732,not supplied,2026-09-10T18:57:38.103254+00:00,https://theoddsgap.com/odds/champions-league/bodo-glimt-vs-bayern-munich
Bayern Munich,Bodo/Glimt,draw,7.901913117584791,,14.5,,83.49986622520478,5.959346441877153,,not supplied,2026-09-10T18:57:38.103254+00:00,https://theoddsgap.com/odds/champions-league/bodo-glimt-vs-bayern-munich
Bayern Munich,Bodo/Glimt,away,10.766781352146014,12.94,28.5,20.18447832063408,164.70306276182933,5.881183155924327,-54.59649122807018,not supplied,2026-09-10T18:57:38.103254+00:00,https://theoddsgap.com/odds/champions-league/bodo-glimt-vs-bayern-munich
Slavia Prague,Lens,home,1.8166875496281318,2.85,2.94,56.87893058899329,61.833002081277286,21.96709880596292,-3.0612244897959107,not supplied,2026-09-10T18:57:38.103254+00:00,https://theoddsgap.com/odds/champions-league/rc-lens-vs-slavia-praha
Slavia Prague,Lens,draw,3.779674054466641,,3.53,,-6.605703319088796,-1.092191192871128,,not supplied,2026-09-10T18:57:38.103254+00:00,https://theoddsgap.com/odds/champions-league/rc-lens-vs-slavia-praha
Slavia Prague,Lens,away,5.406149596898129,2.44,2.4699999999999998,-54.8662138132472,-54.3112902125904,-20.874907613091786,-1.2145748987854144,not supplied,2026-09-10T18:57:38.103254+00:00,https://theoddsgap.com/odds/champions-league/rc-lens-vs-slavia-praha
