home,away,selection,model_fair,opening_odds,closing_odds,clv_pct,closing_fair_clv_pct,result,won,stake,opening_profit,closing_profit,model_source
Club Brugge,Aston Villa,home,2.5728402979817235,2.6399999999999997,2.48,6.451612903225801,3.606945492979019,2-3,False,1,-1,-1,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_shadow_player_rating/prices.csv
Borussia Dortmund,Villarreal,home,1.67214528081467,1.7936507936507935,1.7407407407407407,3.039513677811545,0.2136980446628911,3-2,True,1,0.7936507936507935,0.7407407407407407,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_shadow_player_rating/prices.csv
Porto,Manchester City,away,2.252001853460357,1.7936507936507935,1.65359477124183,8.469791078486733,5.595795528056069,0-2,True,1,0.7936507936507935,0.65359477124183,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_shadow_player_rating/prices.csv
Real Madrid,Inter,away,2.567725062365987,5.02,5.45,-7.88990825688074,-10.429236725456835,2-1,False,1,-1,-1,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_shadow_player_rating/prices.csv
Barcelona,Feyenoord,home,1.4642913732851048,1.1385041551246537,1.0816326530612246,5.257931322845333,2.1068683886451334,5-1,True,1,0.13850415512465375,0.08163265306122458,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_shadow_player_rating/prices.csv
Liverpool,Atlético de Madrid,home,1.6340064517747477,1.7462686567164178,1.7692307692307692,-1.29785853341986,-3.9846884811040484,2-1,True,1,0.7462686567164178,0.7692307692307692,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_shadow_player_rating/prices.csv
Paris Saint-Germain,Slovan Bratislava,home,1.1675269934481427,1.049800796812749,1.04,0.942384308918176,-1.976373645117735,6-1,True,1,0.04980079681274896,0.040000000000000036,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_shadow_player_rating/prices.csv
Sporting CP,Galatasaray,home,1.5923572607758714,2.01,1.625,23.69230769230768,20.524198617221856,3-1,True,1,1.0099999999999998,0.625,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_shadow_player_rating/prices.csv
Napoli,Arsenal,away,1.933490260699571,1.8771929824561404,1.704225352112676,10.149340292880972,7.110372551949529,0-1,True,1,0.8771929824561404,0.704225352112676,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_shadow_player_rating/prices.csv
PSV Eindhoven,Shakhtar Donetsk,home,1.9681123471745263,1.4201680672268908,1.5128205128205128,-6.124483691781791,-8.663036127684409,1-1,False,1,-1,-1,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_champions_league_prices/md1_remaining_normal_and_shadow/run/normal/prices.csv
Bayern Munich,Bodo/Glimt,home,1.2811149176465912,1.1517450682852808,1.08,6.643061878266732,3.5390479385873697,5-0,True,1,0.15174506828528078,0.08000000000000007,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_champions_league_prices/md1_remaining_normal_and_shadow/run/normal/prices.csv
Slavia Prague,Lens,home,1.8166875496281318,2.85,2.94,-3.0612244897959107,-5.7273010080010405,2-3,False,1,-1,-1,BettingEngine/outputs/football/ucl/2026-27/md01/_supporting/week_1_champions_league_prices/md1_remaining_normal_and_shadow/run/normal/prices.csv
