anchor,snapshot_ts,sport,away,home,commence_time,market,side,line,book,american_odds,devig_fair_prob,best_price_flag
earliest_available,2026-09-08T11:04:39.283678+00:00,soccer_uefa_champs_league,Feyenoord,Barcelona,2026-09-09T16:45:00Z,ml,home,,pinnacle,-1433,0.886608,0
earliest_available,2026-09-08T11:04:39.283678+00:00,soccer_uefa_champs_league,Feyenoord,Barcelona,2026-09-09T16:45:00Z,ml,away,,pinnacle,2157,0.042024,0
earliest_available,2026-09-08T11:04:39.283678+00:00,soccer_uefa_champs_league,Feyenoord,Barcelona,2026-09-09T16:45:00Z,ml,draw,,pinnacle,1229,0.071368,0
last_available_pregame,2026-09-09T16:42:20.042597+00:00,soccer_uefa_champs_league,Feyenoord,Barcelona,2026-09-09T16:45:00Z,ml,home,,pinnacle,-1225,0.896851,0
last_available_pregame,2026-09-09T16:42:20.042597+00:00,soccer_uefa_champs_league,Feyenoord,Barcelona,2026-09-09T16:45:00Z,ml,away,,pinnacle,3000,0.031292,0
last_available_pregame,2026-09-09T16:42:20.042597+00:00,soccer_uefa_champs_league,Feyenoord,Barcelona,2026-09-09T16:45:00Z,ml,draw,,pinnacle,1250,0.071857,0
earliest_available,2026-09-08T11:04:39.283678+00:00,soccer_uefa_champs_league,Bodø/Glimt,Bayern Munich,2026-09-10T19:00:00Z,ml,home,,pinnacle,-1208,0.873444,0
earliest_available,2026-09-08T11:04:39.283678+00:00,soccer_uefa_champs_league,Bodø/Glimt,Bayern Munich,2026-09-10T19:00:00Z,ml,away,,pinnacle,1631,0.054636,0
earliest_available,2026-09-08T11:04:39.283678+00:00,soccer_uefa_champs_league,Bodø/Glimt,Bayern Munich,2026-09-10T19:00:00Z,ml,draw,,pinnacle,1215,0.071920,0
last_available_pregame,2026-09-10T18:57:38.103254+00:00,soccer_uefa_champs_league,Bodø/Glimt,Bayern Munich,2026-09-10T19:00:00Z,ml,home,,pinnacle,-1250,0.898975,0
last_available_pregame,2026-09-10T18:57:38.103254+00:00,soccer_uefa_champs_league,Bodø/Glimt,Bayern Munich,2026-09-10T19:00:00Z,ml,away,,pinnacle,2750,0.034066,0
last_available_pregame,2026-09-10T18:57:38.103254+00:00,soccer_uefa_champs_league,Bodø/Glimt,Bayern Munich,2026-09-10T19:00:00Z,ml,draw,,pinnacle,1350,0.066958,0
earliest_available,2026-09-08T11:04:39.283678+00:00,soccer_uefa_champs_league,Villarreal,Borussia Dortmund,2026-09-08T19:00:00Z,ml,home,,pinnacle,-119,0.527812,0
earliest_available,2026-09-08T11:04:39.283678+00:00,soccer_uefa_champs_league,Villarreal,Borussia Dortmund,2026-09-08T19:00:00Z,ml,away,,pinnacle,317,0.232938,0
